GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Enrolled in school:,Margin of Error; Male: - Enrolled in school:,"Estimate; Male: - Enrolled in school: - Enrolled in nursery school, preschool:","Margin of Error; Male: - Enrolled in school: - Enrolled in nursery school, preschool:","Estimate; Male: - Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Margin of Error; Male: - Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Estimate; Male: - Enrolled in school: - Enrolled in nursery school, preschool: - Private school","Margin of Error; Male: - Enrolled in school: - Enrolled in nursery school, preschool: - Private school",Estimate; Male: - Enrolled in school: - Enrolled in kindergarten:,Margin of Error; Male: - Enrolled in school: - Enrolled in kindergarten:,Estimate; Male: - Enrolled in school: - Enrolled in kindergarten: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in kindergarten: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in kindergarten: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in kindergarten: - Private school,Estimate; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4:,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4:,Estimate; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Estimate; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8:,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8:,Estimate; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Estimate; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12:,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12:,Estimate; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Estimate; Male: - Enrolled in school: - Enrolled in college undergraduate years:,Margin of Error; Male: - Enrolled in school: - Enrolled in college undergraduate years:,Estimate; Male: - Enrolled in school: - Enrolled in college undergraduate years: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in college undergraduate years: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in college undergraduate years: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in college undergraduate years: - Private school,Estimate; Male: - Enrolled in school: - Enrolled in graduate or professional school:,Margin of Error; Male: - Enrolled in school: - Enrolled in graduate or professional school:,Estimate; Male: - Enrolled in school: - Enrolled in graduate or professional school: - Public school,Margin of Error; Male: - Enrolled in school: - Enrolled in graduate or professional school: - Public school,Estimate; Male: - Enrolled in school: - Enrolled in graduate or professional school: - Private school,Margin of Error; Male: - Enrolled in school: - Enrolled in graduate or professional school: - Private school,Estimate; Male: - Not enrolled in school,Margin of Error; Male: - Not enrolled in school,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Enrolled in school:,Margin of Error; Female: - Enrolled in school:,"Estimate; Female: - Enrolled in school: - Enrolled in nursery school, preschool:","Margin of Error; Female: - Enrolled in school: - Enrolled in nursery school, preschool:","Estimate; Female: - Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Margin of Error; Female: - Enrolled in school: - Enrolled in nursery school, preschool: - Public school","Estimate; Female: - Enrolled in school: - Enrolled in nursery school, preschool: - Private school","Margin of Error; Female: - Enrolled in school: - Enrolled in nursery school, preschool: - Private school",Estimate; Female: - Enrolled in school: - Enrolled in kindergarten:,Margin of Error; Female: - Enrolled in school: - Enrolled in kindergarten:,Estimate; Female: - Enrolled in school: - Enrolled in kindergarten: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in kindergarten: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in kindergarten: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in kindergarten: - Private school,Estimate; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4:,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4:,Estimate; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 1 to grade 4: - Private school,Estimate; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8:,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8:,Estimate; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 5 to grade 8: - Private school,Estimate; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12:,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12:,Estimate; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in grade 9 to grade 12: - Private school,Estimate; Female: - Enrolled in school: - Enrolled in college undergraduate years:,Margin of Error; Female: - Enrolled in school: - Enrolled in college undergraduate years:,Estimate; Female: - Enrolled in school: - Enrolled in college undergraduate years: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in college undergraduate years: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in college undergraduate years: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in college undergraduate years: - Private school,Estimate; Female: - Enrolled in school: - Enrolled in graduate or professional school:,Margin of Error; Female: - Enrolled in school: - Enrolled in graduate or professional school:,Estimate; Female: - Enrolled in school: - Enrolled in graduate or professional school: - Public school,Margin of Error; Female: - Enrolled in school: - Enrolled in graduate or professional school: - Public school,Estimate; Female: - Enrolled in school: - Enrolled in graduate or professional school: - Private school,Margin of Error; Female: - Enrolled in school: - Enrolled in graduate or professional school: - Private school,Estimate; Female: - Not enrolled in school,Margin of Error; Female: - Not enrolled in school
0500000US01001,01001,"Autauga County, Alabama",51111,191,24771,199,7616,344,496,130,168,81,328,117,426,181,280,124,146,125,1634,203,1553,199,81,53,1811,219,1654,209,157,106,1889,186,1691,190,198,74,980,196,777,185,203,113,380,141,130,56,250,134,17155,287,26340,155,7599,321,259,90,77,60,182,91,312,131,234,110,78,59,1675,200,1517,206,158,92,1719,203,1591,205,128,64,1918,157,1615,191,303,91,1421,232,1092,218,329,152,295,125,224,100,71,54,18741,329
0500000US01003,01003,"Baldwin County, Alabama",169291,374,82508,269,19160,536,1301,248,520,158,781,188,1414,235,1196,247,218,100,4753,406,4310,415,443,144,4379,384,3952,378,427,153,4560,256,4056,299,504,203,2354,379,2068,348,286,150,399,123,292,116,107,56,63348,506,86783,320,20133,509,1177,230,384,156,793,196,1177,258,841,207,336,143,4243,411,3622,406,621,168,4734,451,4208,453,526,152,4499,253,4020,270,479,135,3419,394,2853,373,566,173,884,182,590,143,294,133,66650,490
0500000US01005,01005,"Barbour County, Alabama",26494,113,14075,115,3074,239,141,63,66,49,75,42,87,64,34,33,53,54,674,145,639,143,35,26,812,140,733,137,79,47,910,176,813,180,97,56,413,125,393,120,20,20,37,41,31,40,6,11,11001,207,12419,122,2897,166,86,58,34,32,52,42,206,77,147,70,59,42,686,119,593,115,93,46,617,126,519,116,98,64,706,75,660,76,46,53,540,129,499,122,41,32,56,42,38,38,18,24,9522,189
0500000US01007,01007,"Bibb County, Alabama",22059,148,11885,214,2522,256,134,87,87,73,47,54,132,84,132,84,0,119,542,157,514,157,28,30,533,159,464,150,69,70,914,227,812,237,102,86,255,156,255,156,0,119,12,21,12,21,0,119,9363,242,10174,197,2340,237,128,91,111,88,17,20,115,79,109,79,6,10,655,142,638,141,17,18,519,148,498,151,21,20,460,174,414,161,46,54,365,164,365,164,0,119,98,77,98,77,0,119,7834,243
0500000US01009,01009,"Blount County, Alabama",54822,179,27157,225,6662,331,301,120,132,70,169,100,482,145,467,150,15,24,1507,174,1373,179,134,88,1697,209,1580,199,117,88,1683,189,1458,178,225,111,884,236,760,228,124,92,108,75,82,69,26,28,20495,371,27665,202,6594,314,257,79,134,74,123,57,434,149,395,149,39,38,1686,234,1671,229,15,20,1598,245,1457,224,141,95,1346,196,1195,187,151,94,1126,228,962,212,164,77,147,119,100,104,47,41,21071,345
0500000US01011,01011,"Bullock County, Alabama",10467,109,5601,130,1282,164,104,64,89,61,15,22,33,18,33,18,0,119,298,104,245,95,53,54,352,99,295,93,57,52,309,114,270,104,39,47,186,127,186,127,0,119,0,119,0,119,0,119,4319,189,4866,119,1169,150,30,44,24,43,6,11,29,46,29,46,0,119,180,85,180,85,0,119,342,110,342,110,0,119,290,149,280,149,10,17,230,107,219,105,11,20,68,58,60,57,8,14,3697,193
0500000US01013,01013,"Butler County, Alabama",20094,117,9432,89,2437,138,157,78,148,77,9,15,223,77,139,71,84,59,583,121,561,120,22,25,542,122,446,117,96,49,713,86,596,85,117,61,175,84,154,80,21,25,44,37,35,34,9,16,6995,170,10662,69,2771,200,73,52,73,52,0,119,65,41,57,38,8,14,559,91,532,94,27,23,629,122,543,137,86,63,695,118,668,112,27,29,654,145,627,144,27,31,96,60,96,60,0,119,7891,203
0500000US01015,01015,"Calhoun County, Alabama",112857,330,54029,238,14184,457,779,193,438,131,341,139,939,236,836,206,103,83,3186,314,2954,301,232,123,2897,319,2669,322,228,105,2700,219,2300,229,400,121,3310,413,3042,389,268,103,373,132,305,127,68,37,39845,467,58828,204,15025,578,572,162,335,136,237,93,697,175,567,153,130,88,3405,306,3081,313,324,120,2616,271,2405,249,211,95,3061,271,2737,284,324,117,4109,517,3865,491,244,111,565,165,469,136,96,72,43803,590
0500000US01017,01017,"Chambers County, Alabama",33186,149,15730,155,3789,199,307,111,240,112,67,53,133,81,121,79,12,17,1300,137,1169,131,131,79,796,133,755,135,41,35,935,92,840,109,95,75,267,110,236,107,31,28,51,41,51,41,0,119,11941,145,17456,124,4229,257,174,87,125,80,49,36,247,99,240,97,7,13,721,159,588,145,133,78,1017,183,900,183,117,76,1035,134,971,127,64,56,969,211,882,204,87,50,66,42,66,42,0,119,13227,250
