GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner-occupied housing units:,Margin of Error; Owner-occupied housing units:,Estimate; Owner-occupied housing units: - Less than high school graduate,Margin of Error; Owner-occupied housing units: - Less than high school graduate,Estimate; Owner-occupied housing units: - High school graduate (including equivalency),Margin of Error; Owner-occupied housing units: - High school graduate (including equivalency),Estimate; Owner-occupied housing units: - Some college or associate's degree,Margin of Error; Owner-occupied housing units: - Some college or associate's degree,Estimate; Owner-occupied housing units: - Bachelor's degree or higher,Margin of Error; Owner-occupied housing units: - Bachelor's degree or higher,Estimate; Renter-occupied housing units:,Margin of Error; Renter-occupied housing units:,Estimate; Renter-occupied housing units: - Less than high school graduate,Margin of Error; Renter-occupied housing units: - Less than high school graduate,Estimate; Renter-occupied housing units: - High school graduate (including equivalency),Margin of Error; Renter-occupied housing units: - High school graduate (including equivalency),Estimate; Renter-occupied housing units: - Some college or associate's degree,Margin of Error; Renter-occupied housing units: - Some college or associate's degree,Estimate; Renter-occupied housing units: - Bachelor's degree or higher,Margin of Error; Renter-occupied housing units: - Bachelor's degree or higher
0500000US01003,01003,"Baldwin County, Alabama",68096,3456,48864,2663,4518,1002,14252,1781,13465,1818,16629,1853,19232,2474,3120,1032,5530,1327,6797,1678,3785,1139
0500000US01015,01015,"Calhoun County, Alabama",45862,1776,30941,1595,5506,1349,10650,1276,9064,1406,5721,1046,14921,1709,3805,1026,4733,1250,5178,1183,1205,536
0500000US01043,01043,"Cullman County, Alabama",29666,1543,22316,1615,3816,950,7813,1288,6597,1083,4090,1065,7350,1348,2470,925,1851,618,2708,880,321,275
0500000US01049,01049,"DeKalb County, Alabama",25738,1362,20516,1443,5004,978,6420,1190,5822,1015,3270,859,5222,1065,2009,673,1440,598,1518,645,255,204
0500000US01051,01051,"Elmore County, Alabama",28860,1646,22505,1706,2240,657,6951,1208,7249,1354,6065,1113,6355,1231,1002,583,1232,489,2962,959,1159,625
0500000US01055,01055,"Etowah County, Alabama",39731,1516,29389,1369,4667,1098,8845,1202,10984,1285,4893,1011,10342,1040,2103,703,3243,749,4158,962,838,455
0500000US01069,01069,"Houston County, Alabama",40206,1029,25760,1022,3391,613,7993,931,8641,803,5735,535,14446,904,3493,592,4970,656,4321,654,1662,476
0500000US01073,01073,"Jefferson County, Alabama",257219,3375,166240,3976,15639,1504,41550,2962,49490,3450,59561,2543,90979,3804,16762,2042,25493,2696,32688,3058,16036,1890
0500000US01077,01077,"Lauderdale County, Alabama",38644,1590,27957,1394,3568,749,9490,1446,7473,1272,7426,1228,10687,1736,1635,607,2778,1125,4403,1235,1871,726
0500000US01081,01081,"Lee County, Alabama",55073,1489,35050,1625,4345,1101,8072,1010,11368,1471,11265,1296,20023,1758,2660,872,3929,968,9233,1392,4201,978
0500000US01083,01083,"Limestone County, Alabama",31395,1157,25138,1466,3234,896,5984,1107,8136,1345,7784,1073,6257,1035,1531,533,2512,807,1256,568,958,388
0500000US01089,01089,"Madison County, Alabama",129367,2654,91760,2339,6394,1139,17108,2255,24317,2075,43941,2411,37607,2590,5557,1257,8064,1605,14715,2042,9271,1385
0500000US01095,01095,"Marshall County, Alabama",35024,1547,24796,1580,4074,918,8786,1459,7491,1188,4445,1033,10228,1346,2900,838,2773,775,4000,1244,555,521
0500000US01097,01097,"Mobile County, Alabama",153676,3013,103152,3526,13133,1595,29816,2470,31510,2723,28693,2487,50524,3769,10808,2067,16055,2161,17464,2480,6197,1506
0500000US01101,01101,"Montgomery County, Alabama",88176,2327,52533,1922,4859,1084,12657,1832,12638,1444,22379,1930,35643,2383,7477,1283,9552,1717,10964,1716,7650,1386
0500000US01103,01103,"Morgan County, Alabama",45606,1656,33280,1514,3953,819,10431,1458,12375,1563,6521,1249,12326,1681,2713,741,4090,1068,4692,1132,831,483
0500000US01115,01115,"St. Clair County, Alabama",32583,1552,27740,1778,4668,1030,9997,1317,8798,1666,4277,1146,4843,1219,1209,585,2133,918,1162,624,339,306
0500000US01117,01117,"Shelby County, Alabama",72588,1866,57836,1831,3465,723,10946,1371,16335,1676,27090,1903,14752,1958,1855,693,2804,897,5621,1407,4472,1279
0500000US01121,01121,"Talladega County, Alabama",30119,1488,20436,1773,3621,949,7075,1275,5864,1031,3876,865,9683,1516,2773,913,4169,1158,2248,825,493,378
0500000US01125,01125,"Tuscaloosa County, Alabama",66583,2168,43295,2078,4615,829,12432,1517,13028,1610,13220,1355,23288,2255,3086,825,6651,1417,8140,1486,5411,1193
0500000US01127,01127,"Walker County, Alabama",23830,1333,18436,1502,4506,989,6534,1140,5586,1063,1810,532,5394,1076,1483,692,1538,559,1833,742,540,357
0500000US02020,02020,"Anchorage Municipality, Alaska",104993,2002,64018,2242,2359,692,9456,1465,25493,2326,26710,1878,40975,2566,5301,1328,10252,1685,17793,1801,7629,1312
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",37413,1464,21607,1455,1171,648,4941,1113,7950,1363,7545,1334,15806,1843,2147,899,3760,1154,7308,1506,2591,836
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",30327,1321,24238,1237,1226,497,6981,977,9521,1198,6510,1003,6089,869,465,252,1994,503,2939,659,691,377
0500000US04001,04001,"Apache County, Arizona",18669,974,14160,936,4574,768,3152,669,4724,779,1710,569,4509,846,836,431,1050,408,1238,416,1385,619
0500000US04003,04003,"Cochise County, Arizona",49834,1947,33663,1801,3494,848,7013,1162,15044,1650,8112,1359,16171,2114,2223,816,3831,1143,5750,1260,4367,1323
0500000US04005,04005,"Coconino County, Arizona",44276,2895,27265,1644,3140,749,5440,1115,8625,1499,10060,1268,17011,2271,1557,622,2779,935,7577,1505,5098,1221
0500000US04013,04013,"Maricopa County, Arizona",1384358,10054,873099,9983,74534,4528,163904,5368,300466,7121,334195,7889,511259,11439,82638,4888,130324,6680,202334,7650,95963,5745
0500000US04015,04015,"Mohave County, Arizona",82166,2898,58114,2658,7060,1290,17542,2028,25320,2210,8192,1431,24052,2378,3985,1183,7188,1457,9528,1764,3351,1018
0500000US04017,04017,"Navajo County, Arizona",34891,1951,25760,1944,4335,779,4645,1002,10568,1642,6212,1247,9131,1498,2054,740,3255,987,2626,815,1196,600
0500000US04019,04019,"Pima County, Arizona",382574,5257,243436,5797,22870,2344,44285,3365,85361,4688,90920,3709,139138,5948,18333,2322,30822,3388,56895,4102,33088,3090
0500000US04021,04021,"Pinal County, Arizona",118749,3687,92915,3289,8709,1664,23401,2416,38731,3366,22074,2020,25834,2982,4831,1575,7081,1560,11075,2078,2847,956
0500000US04025,04025,"Yavapai County, Arizona",90607,4023,62501,2576,4627,1381,12458,1718,27173,2083,18243,1819,28106,3033,2838,1111,7892,1592,13414,2122,3962,979
0500000US04027,04027,"Yuma County, Arizona",67750,2331,48719,2324,10850,1577,11082,1342,19161,1954,7626,1264,19031,2251,4945,1398,4007,951,7957,1691,2122,806
0500000US05007,05007,"Benton County, Arkansas",79186,2350,54894,2522,5636,1133,15550,2104,14826,1709,18882,2135,24292,2390,3326,950,8238,1691,7688,1323,5040,1195
0500000US05031,05031,"Craighead County, Arkansas",37167,1324,21761,1346,2447,769,6951,1048,6462,1037,5901,945,15406,1498,2930,825,5809,1241,4808,1343,1859,841
0500000US05045,05045,"Faulkner County, Arkansas",42159,1555,26961,1550,3072,824,8544,1296,7446,1073,7899,1223,15198,1607,1690,702,5631,1086,4710,1107,3167,876
0500000US05051,05051,"Garland County, Arkansas",38369,1790,26145,1716,3580,1009,7209,1159,8509,1370,6847,1168,12224,1794,2817,782,3272,923,5020,1449,1115,571
0500000US05069,05069,"Jefferson County, Arkansas",28392,2252,17481,1808,3099,934,5081,1011,5338,1130,3963,861,10911,1857,1227,647,5190,1287,3203,1292,1291,570
0500000US05085,05085,"Lonoke County, Arkansas",24702,937,19062,1156,1536,606,7246,1129,7288,1201,2992,710,5640,1019,1378,526,1619,501,2054,646,589,417
0500000US05119,05119,"Pulaski County, Arkansas",154943,3428,91253,2770,7786,1191,18363,1941,29295,2420,35809,2310,63690,3791,8587,1673,18680,2389,22449,2583,13974,2301
0500000US05125,05125,"Saline County, Arkansas",40315,1750,32275,1718,3357,770,10902,1432,9084,1125,8932,1475,8040,1192,1046,578,3356,1009,3116,983,522,310
0500000US05131,05131,"Sebastian County, Arkansas",49363,1465,32043,1939,3517,958,9199,1429,11066,1524,8261,1481,17320,1758,3928,1019,5583,1673,5880,1230,1929,790
0500000US05143,05143,"Washington County, Arkansas",76407,2484,43247,2376,5544,1130,11284,1500,12530,1746,13889,1813,33160,2731,6288,1360,9199,1674,11548,2187,6125,1407
0500000US05145,05145,"White County, Arkansas",29806,1087,19645,1460,2861,775,6378,983,6622,1216,3784,887,10161,1712,2602,874,3363,906,3477,1301,719,331
0500000US06001,06001,"Alameda County, California",537410,4196,286780,5237,23190,2311,41908,3281,73661,4059,148021,5298,250630,5892,38412,3098,48195,3082,78998,4561,85025,4393
0500000US06007,06007,"Butte County, California",84629,2168,50325,2185,3602,985,9605,1373,21779,2031,15339,1490,34304,2433,4298,991,7370,1323,16999,2012,5637,1298
0500000US06013,06013,"Contra Costa County, California",367883,3940,243026,4695,13736,1596,35273,2885,75161,3861,118856,3490,124857,5397,17484,2475,28094,3096,42724,3683,36555,3241
0500000US06017,06017,"El Dorado County, California",67092,2275,51155,2734,2085,950,7950,1225,20952,2517,20168,1837,15937,2081,1157,534,4502,1136,7605,1626,2673,786
