GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
0500000US01003,01003,"Baldwin County, Alabama",40931,4182,10389,1912,5402,1835,10416,2167,7385,1851,7339,1594
0500000US01015,01015,"Calhoun County, Alabama",10110,1516,2327,707,1179,593,1879,653,2598,842,2127,783
0500000US01043,01043,"Cullman County, Alabama",9359,1623,2955,1233,1451,566,1255,542,1847,596,1851,657
0500000US01049,01049,"DeKalb County, Alabama",4868,1223,996,438,326,298,1021,361,1796,784,729,531
0500000US01051,01051,"Elmore County, Alabama",11992,1644,2436,729,1781,752,3016,797,2268,915,2491,895
0500000US01055,01055,"Etowah County, Alabama",9382,1654,1958,600,1392,539,2375,1063,1688,533,1969,721
0500000US01069,01069,"Houston County, Alabama",12353,993,3363,481,1926,525,2910,524,1904,413,2250,515
0500000US01073,01073,"Jefferson County, Alabama",105902,4249,30049,2600,10055,1561,27258,2616,13511,2114,25029,2444
0500000US01077,01077,"Lauderdale County, Alabama",12400,1843,3396,866,1545,618,2547,707,2248,816,2664,825
0500000US01081,01081,"Lee County, Alabama",24739,2411,6744,1530,2363,863,4912,1249,3967,874,6753,1198
0500000US01083,01083,"Limestone County, Alabama",12885,1692,3697,907,1476,775,2871,747,2528,785,2313,1007
0500000US01089,01089,"Madison County, Alabama",73549,3140,31185,2562,6932,1202,15831,2154,7195,1310,12406,1614
0500000US01095,01095,"Marshall County, Alabama",10259,1594,3015,934,1118,472,2136,562,2416,592,1574,600
0500000US01097,01097,"Mobile County, Alabama",47199,3478,13988,1714,5563,1232,11771,1685,6533,1221,9344,1346
0500000US01101,01101,"Montgomery County, Alabama",25777,1874,6913,1267,2085,538,7389,1225,3208,726,6182,1052
0500000US01103,01103,"Morgan County, Alabama",14778,1859,4799,1094,1083,453,3437,1031,3271,823,2188,773
0500000US01115,01115,"St. Clair County, Alabama",9981,1548,3286,988,983,542,2477,1026,1140,513,2095,881
0500000US01117,01117,"Shelby County, Alabama",51417,3158,13708,1953,4101,932,15298,2090,8704,1226,9606,1421
0500000US01121,01121,"Talladega County, Alabama",6008,1286,1071,534,604,386,1423,557,1913,712,997,454
0500000US01125,01125,"Tuscaloosa County, Alabama",30538,2914,8401,1404,3750,961,4892,1042,5964,1349,7531,1502
0500000US01127,01127,"Walker County, Alabama",4873,1426,1160,600,354,193,615,511,1752,745,992,630
0500000US02020,02020,"Anchorage Municipality, Alaska",57979,3392,23581,2221,6803,1076,8831,1273,5501,1135,13263,1805
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",17014,2351,7949,1534,1646,741,1149,534,2472,982,3798,1160
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",11930,1403,3408,717,1097,355,1519,471,2517,592,3389,812
0500000US04001,04001,"Apache County, Arizona",2175,601,286,172,419,256,434,292,521,291,515,309
0500000US04003,04003,"Cochise County, Arizona",18219,1902,6458,1126,1604,673,3024,911,2579,719,4554,988
0500000US04005,04005,"Coconino County, Arizona",25481,2117,11010,1781,2069,535,2565,700,3919,918,5918,1194
0500000US04013,04013,"Maricopa County, Arizona",754158,11090,228220,6403,75702,3956,178861,6196,109435,5303,161940,6398
0500000US04015,04015,"Mohave County, Arizona",15690,2072,4570,1126,1929,733,2431,762,3802,948,2958,932
0500000US04017,04017,"Navajo County, Arizona",8355,1310,2518,727,1243,475,1188,435,1793,560,1613,666
0500000US04019,04019,"Pima County, Arizona",186797,7118,70149,3656,19108,1973,31722,3134,24189,2629,41629,2784
0500000US04021,04021,"Pinal County, Arizona",51000,3716,16315,2169,5579,1237,10948,1853,9380,1840,8778,1636
0500000US04025,04025,"Yavapai County, Arizona",39460,3113,11539,1974,5166,1169,7533,1369,7144,1215,8078,1582
0500000US04027,04027,"Yuma County, Arizona",14184,1673,5222,921,1100,443,2631,763,2331,682,2900,769
0500000US05007,05007,"Benton County, Arkansas",46601,3350,13382,1917,4432,1256,13229,1537,7521,1396,8037,1234
0500000US05031,05031,"Craighead County, Arkansas",13532,1930,3702,980,2288,749,2915,863,2936,1036,1691,628
0500000US05045,05045,"Faulkner County, Arkansas",18653,1778,4556,1006,2821,988,3843,1110,3534,903,3899,1017
0500000US05051,05051,"Garland County, Arkansas",11867,1806,3496,923,901,475,2270,595,3299,1267,1901,602
0500000US05069,05069,"Jefferson County, Arkansas",4171,1149,536,311,242,196,946,411,1355,674,1092,703
0500000US05085,05085,"Lonoke County, Arkansas",9317,1502,2157,702,1185,531,1994,717,2358,676,1623,670
0500000US05119,05119,"Pulaski County, Arkansas",67512,4011,19271,1877,8245,1504,13700,1918,9446,1601,16850,2229
0500000US05125,05125,"Saline County, Arkansas",19876,2141,4788,875,2729,882,4663,1411,4125,1169,3571,1002
0500000US05131,05131,"Sebastian County, Arkansas",12809,1763,3983,897,1273,615,2429,702,2634,789,2490,703
0500000US05143,05143,"Washington County, Arkansas",39859,3247,13182,1739,3213,996,8046,1694,6461,1193,8957,1868
0500000US05145,05145,"White County, Arkansas",9862,1828,2179,942,950,579,2607,968,2513,793,1613,865
0500000US06001,06001,"Alameda County, California",261505,5511,119319,4181,18286,2413,33992,2909,11951,1333,77957,3423
0500000US06007,06007,"Butte County, California",35598,2811,14698,2295,2830,803,3837,1062,4550,1069,9683,1692
0500000US06013,06013,"Contra Costa County, California",210474,5897,85512,5189,13232,1732,40477,3278,13041,1605,58212,3459
0500000US06017,06017,"El Dorado County, California",39685,3116,15300,2142,3207,909,6824,1253,3407,1122,10947,1621
0500000US06019,06019,"Fresno County, California",87063,3786,28048,2452,8521,1329,14758,1452,9451,1309,26285,2309
0500000US06023,06023,"Humboldt County, California",24322,3014,11170,1849,1887,681,1805,620,2043,573,7417,1763
0500000US06025,06025,"Imperial County, California",11340,1727,4935,1424,635,356,1593,557,1555,624,2622,662
0500000US06029,06029,"Kern County, California",64713,4033,24189,2240,3834,1198,11653,1908,6884,1451,18153,2576
0500000US06031,06031,"Kings County, California",8727,1266,2764,903,488,354,1274,457,1593,589,2608,854
0500000US06033,06033,"Lake County, California",6233,1064,1712,618,752,434,845,544,1146,570,1778,619
0500000US06037,06037,"Los Angeles County, California",1238866,13147,433473,9135,75089,3908,207169,5967,79033,3982,444102,10736
0500000US06039,06039,"Madera County, California",9494,1454,3020,918,807,462,1667,615,1057,455,2943,865
0500000US06041,06041,"Marin County, California",99925,3419,40773,2822,5938,1165,16314,1988,5328,1272,31572,2484
0500000US06045,06045,"Mendocino County, California",12743,1497,5456,1129,860,521,1582,582,1033,403,3812,891
0500000US06047,06047,"Merced County, California",14445,1905,5506,1158,849,361,1952,705,2253,796,3885,1216
0500000US06053,06053,"Monterey County, California",50564,2698,18774,1998,4143,995,7227,1312,4624,974,15796,1788
0500000US06055,06055,"Napa County, California",28980,2065,10929,1216,2336,668,4463,1036,2301,588,8951,1226
0500000US06057,06057,"Nevada County, California",26248,2276,10807,1558,2238,844,3047,785,3200,792,6956,1158
0500000US06059,06059,"Orange County, California",544013,11377,207133,7476,35872,3248,116594,6092,41576,2995,142838,6383
0500000US06061,06061,"Placer County, California",85705,3760,29461,1828,7775,1084,18619,2107,7044,1036,22806,2016
0500000US06065,06065,"Riverside County, California",225393,7367,74652,4026,20428,2972,46537,3824,23558,2353,60218,3978
0500000US06067,06067,"Sacramento County, California",199534,6532,76121,4239,13691,1662,37856,2614,13962,1560,57904,3513
0500000US06071,06071,"San Bernardino County, California",161168,7312,55789,4885,14686,2495,30870,2748,19147,2312,40676,3351
0500000US06073,06073,"San Diego County, California",627033,11900,252256,8087,44739,3560,122654,6372,52232,3703,155152,7555
0500000US06075,06075,"San Francisco County, California",248069,4148,109140,4076,12668,1548,36335,2797,7844,1486,82082,4301
0500000US06077,06077,"San Joaquin County, California",45254,3519,16836,2211,3733,1006,6996,1346,5441,1097,12248,1695
0500000US06079,06079,"San Luis Obispo County, California",62074,3677,25195,2559,4479,986,7923,1341,7696,1307,16781,1941
0500000US06081,06081,"San Mateo County, California",152347,4654,70393,3120,9868,1403,25991,2520,8803,1406,37292,2460
