GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than high school diploma,Margin of Error; Male: - Less than high school diploma,Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),Estimate; Male: - Some college or associate's degree,Margin of Error; Male: - Some college or associate's degree,Estimate; Male: - Bachelor's degree or higher,Margin of Error; Male: - Bachelor's degree or higher,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than high school diploma,Margin of Error; Female: - Less than high school diploma,Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),Estimate; Female: - Some college or associate's degree,Margin of Error; Female: - Some college or associate's degree,Estimate; Female: - Bachelor's degree or higher,Margin of Error; Female: - Bachelor's degree or higher
0500000US01001,01001,"Autauga County, Alabama",25707,106,12417,74,1633,303,4469,470,3340,405,2975,374,13290,67,1800,297,4511,483,4059,389,2920,363
0500000US01003,01003,"Baldwin County, Alabama",101902,278,49023,209,5639,716,13939,994,14964,912,14481,940,52879,193,5588,780,16259,992,16668,1001,14364,987
0500000US01005,01005,"Barbour County, Alabama",10445,277,5637,245,1357,285,1894,283,1395,336,991,192,4808,137,927,230,1766,216,1251,240,864,180
0500000US01007,01007,"Bibb County, Alabama",10877,186,5509,154,1648,387,2202,399,1057,292,602,259,5368,186,1270,306,2190,352,1080,281,828,257
0500000US01009,01009,"Blount County, Alabama",36249,245,17718,100,4521,590,7066,599,4036,575,2095,429,18531,176,4819,614,6487,681,5141,666,2084,490
0500000US01013,01013,"Butler County, Alabama",8236,5,3830,154,969,265,1313,262,915,224,633,188,4406,5,586,158,1595,234,1462,277,763,190
0500000US01015,01015,"Calhoun County, Alabama",59884,209,28369,149,5840,720,8632,761,8385,597,5512,533,31515,136,7026,573,11902,749,7380,672,5207,474
0500000US01017,01017,"Chambers County, Alabama",15295,158,7224,138,2032,365,2321,421,1862,337,1009,245,8071,165,1866,330,2904,440,2207,331,1094,235
0500000US01019,01019,"Cherokee County, Alabama",16298,27,7806,154,2501,458,2971,405,1494,332,840,255,8492,27,2655,414,3237,508,1987,348,613,221
0500000US01021,01021,"Chilton County, Alabama",24953,201,12045,149,3189,464,4897,500,2809,425,1150,270,12908,74,3171,436,5120,563,3084,556,1533,340
0500000US01025,01025,"Clarke County, Alabama",10105,171,4678,171,906,303,1966,340,879,218,927,224,5427,154,816,214,2197,305,1336,309,1078,226
0500000US01031,01031,"Coffee County, Alabama",24881,127,12006,103,2376,332,3023,385,3648,397,2959,366,12875,62,2964,323,3633,338,3737,416,2541,356
0500000US01033,01033,"Colbert County, Alabama",31617,168,14923,93,3214,374,5477,524,3573,446,2659,447,16694,99,3024,383,6419,591,4869,452,2382,369
0500000US01039,01039,"Covington County, Alabama",22102,64,10406,49,2648,364,3687,433,2559,362,1512,311,11696,18,2619,412,4358,414,2897,391,1822,343
0500000US01043,01043,"Cullman County, Alabama",52912,212,25748,155,6791,626,8579,746,6976,664,3402,495,27164,129,6464,490,9474,666,7631,605,3595,452
0500000US01045,01045,"Dale County, Alabama",24172,178,11754,116,1833,326,2768,350,4708,511,2445,397,12418,127,2002,357,4387,412,4566,533,1463,267
0500000US01047,01047,"Dallas County, Alabama",10199,188,4750,150,671,174,1859,325,1282,228,938,204,5449,119,819,209,1943,296,1571,324,1116,263
0500000US01049,01049,"DeKalb County, Alabama",42917,579,20484,265,6820,809,6710,685,4665,649,2289,552,22433,361,6795,704,7590,578,5432,656,2616,511
0500000US01051,01051,"Elmore County, Alabama",38444,74,18808,45,2984,469,6287,518,5062,536,4475,493,19636,43,2945,428,7171,695,5853,530,3667,459
0500000US01053,01053,"Escambia County, Alabama",16845,124,8240,106,1885,324,3577,421,1966,370,812,262,8605,44,1511,280,3218,364,2462,346,1414,282
0500000US01055,01055,"Etowah County, Alabama",59972,240,28318,179,6165,583,8729,562,8563,569,4861,514,31654,131,6333,613,11081,649,10092,756,4148,557
0500000US01059,01059,"Franklin County, Alabama",18259,304,8573,160,3165,413,2570,396,1981,319,857,217,9686,168,3385,445,2824,389,2377,340,1100,302
0500000US01061,01061,"Geneva County, Alabama",15832,82,7525,91,1933,319,2886,391,2078,348,628,241,8307,26,2185,353,3042,404,2204,398,876,269
