GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; With earnings,Margin of Error; With earnings,Estimate; No earnings,Margin of Error; No earnings
0500000US01003,01003,"Baldwin County, Alabama",68926,2888,52803,2845,16123,1340
0500000US01015,01015,"Calhoun County, Alabama",46640,1757,34880,1759,11760,1102
0500000US01043,01043,"Cullman County, Alabama",30714,1387,23381,1624,7333,1069
0500000US01049,01049,"DeKalb County, Alabama",24481,2183,17276,1592,7205,1444
0500000US01051,01051,"Elmore County, Alabama",25360,1561,20644,1549,4716,691
0500000US01055,01055,"Etowah County, Alabama",41829,1574,29467,1715,12362,1426
0500000US01069,01069,"Houston County, Alabama",36881,1052,28322,1069,8559,670
0500000US01073,01073,"Jefferson County, Alabama",264249,4103,206467,4454,57782,2988
0500000US01077,01077,"Lauderdale County, Alabama",37113,1435,26147,1649,10966,1339
0500000US01081,01081,"Lee County, Alabama",55986,1846,46883,2045,9103,961
0500000US01083,01083,"Limestone County, Alabama",25984,969,19971,1169,6013,1057
0500000US01089,01089,"Madison County, Alabama",127342,3111,104439,3443,22903,1938
0500000US01095,01095,"Marshall County, Alabama",32519,1478,24335,1727,8184,1106
0500000US01097,01097,"Mobile County, Alabama",160153,2968,123910,3327,36243,2125
0500000US01101,01101,"Montgomery County, Alabama",89106,2777,69474,2735,19632,1594
0500000US01103,01103,"Morgan County, Alabama",45520,1275,35390,1705,10130,1312
0500000US01115,01115,"St. Clair County, Alabama",27129,1656,21275,1737,5854,1231
0500000US01117,01117,"Shelby County, Alabama",69685,1664,61505,1735,8180,1012
0500000US01121,01121,"Talladega County, Alabama",30635,1637,21482,1832,9153,1266
0500000US01125,01125,"Tuscaloosa County, Alabama",68047,2656,51878,2550,16169,1571
0500000US01127,01127,"Walker County, Alabama",28248,1355,18778,1364,9470,1096
0500000US02020,02020,"Anchorage Municipality, Alaska",104675,1726,95873,2065,8802,1159
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",32559,1395,29638,1521,2921,862
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",21451,738,19049,812,2402,497
0500000US04001,04001,"Apache County, Arizona",17062,1683,10369,1403,6693,915
0500000US04003,04003,"Cochise County, Arizona",47692,2438,34086,2509,13606,1129
0500000US04005,04005,"Coconino County, Arizona",46500,1877,38668,2269,7832,1151
0500000US04013,04013,"Maricopa County, Arizona",1344597,8226,1097714,9149,246883,5588
0500000US04015,04015,"Mohave County, Arizona",73884,2854,48971,2526,24913,1977
0500000US04017,04017,"Navajo County, Arizona",36400,2066,27010,2165,9390,1089
0500000US04019,04019,"Pima County, Arizona",376725,4877,290389,4899,86336,2877
0500000US04021,04021,"Pinal County, Arizona",117102,3386,90067,3411,27035,1698
0500000US04025,04025,"Yavapai County, Arizona",88550,2642,61513,2855,27037,1805
0500000US04027,04027,"Yuma County, Arizona",69370,2512,48058,2630,21312,1758
0500000US05007,05007,"Benton County, Arkansas",75838,2309,61252,2294,14586,1541
0500000US05031,05031,"Craighead County, Arkansas",35746,1316,27752,1578,7994,1119
0500000US05045,05045,"Faulkner County, Arkansas",40636,1329,33264,1576,7372,1077
0500000US05051,05051,"Garland County, Arkansas",38289,2429,25885,2034,12404,1288
0500000US05069,05069,"Jefferson County, Arkansas",29214,1514,22269,1511,6945,979
0500000US05085,05085,"Lonoke County, Arkansas",24192,884,20340,926,3852,1035
0500000US05119,05119,"Pulaski County, Arkansas",158610,3062,131311,3586,27299,2511
0500000US05125,05125,"Saline County, Arkansas",37945,1005,30306,1288,7639,971
0500000US05131,05131,"Sebastian County, Arkansas",46779,1574,34789,1820,11990,1246
0500000US05143,05143,"Washington County, Arkansas",71791,2404,60165,2494,11626,1293
0500000US05145,05145,"White County, Arkansas",28079,1245,21532,1378,6547,928
0500000US06001,06001,"Alameda County, California",517939,5028,426104,4877,91835,4145
0500000US06007,06007,"Butte County, California",86438,1987,64004,2091,22434,1595
0500000US06013,06013,"Contra Costa County, California",367985,3384,301719,3885,66266,3234
0500000US06017,06017,"El Dorado County, California",65323,1888,54112,1937,11211,1160
0500000US06019,06019,"Fresno County, California",278964,3810,226544,3959,52420,3984
0500000US06023,06023,"Humboldt County, California",52979,1527,40196,1812,12783,1299
0500000US06025,06025,"Imperial County, California",46834,1508,36933,1549,9901,1262
