GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,"Estimate; Car, truck, or van:"
HD02_VD03,"Margin of Error; Car, truck, or van:"
HD01_VD04,"Estimate; Car, truck, or van: - Drove alone"
HD02_VD04,"Margin of Error; Car, truck, or van: - Drove alone"
HD01_VD05,"Estimate; Car, truck, or van: - Carpooled:"
HD02_VD05,"Margin of Error; Car, truck, or van: - Carpooled:"
HD01_VD06,"Estimate; Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD06,"Margin of Error; Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD07,"Estimate; Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD07,"Margin of Error; Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD08,"Estimate; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD08,"Margin of Error; Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD09,Estimate; Public transportation (excluding taxicab)
HD02_VD09,Margin of Error; Public transportation (excluding taxicab)
HD01_VD10,Estimate; Walked
HD02_VD10,Margin of Error; Walked
HD01_VD11,"Estimate; Taxicab, motorcycle, bicycle, or other means"
HD02_VD11,"Margin of Error; Taxicab, motorcycle, bicycle, or other means"
HD01_VD12,Estimate; Worked at home
HD02_VD12,Margin of Error; Worked at home
HD01_VD13,Estimate; Male:
HD02_VD13,Margin of Error; Male:
HD01_VD14,"Estimate; Male: - Car, truck, or van:"
HD02_VD14,"Margin of Error; Male: - Car, truck, or van:"
HD01_VD15,"Estimate; Male: - Car, truck, or van: - Drove alone"
HD02_VD15,"Margin of Error; Male: - Car, truck, or van: - Drove alone"
HD01_VD16,"Estimate; Male: - Car, truck, or van: - Carpooled:"
HD02_VD16,"Margin of Error; Male: - Car, truck, or van: - Carpooled:"
HD01_VD17,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD17,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD18,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD18,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD19,"Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD19,"Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD20,Estimate; Male: - Public transportation (excluding taxicab)
HD02_VD20,Margin of Error; Male: - Public transportation (excluding taxicab)
HD01_VD21,Estimate; Male: - Walked
HD02_VD21,Margin of Error; Male: - Walked
HD01_VD22,"Estimate; Male: - Taxicab, motorcycle, bicycle, or other means"
HD02_VD22,"Margin of Error; Male: - Taxicab, motorcycle, bicycle, or other means"
HD01_VD23,Estimate; Male: - Worked at home
HD02_VD23,Margin of Error; Male: - Worked at home
HD01_VD24,Estimate; Female:
HD02_VD24,Margin of Error; Female:
HD01_VD25,"Estimate; Female: - Car, truck, or van:"
HD02_VD25,"Margin of Error; Female: - Car, truck, or van:"
HD01_VD26,"Estimate; Female: - Car, truck, or van: - Drove alone"
HD02_VD26,"Margin of Error; Female: - Car, truck, or van: - Drove alone"
HD01_VD27,"Estimate; Female: - Car, truck, or van: - Carpooled:"
HD02_VD27,"Margin of Error; Female: - Car, truck, or van: - Carpooled:"
HD01_VD28,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD02_VD28,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool"
HD01_VD29,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD02_VD29,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool"
HD01_VD30,"Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD02_VD30,"Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool"
HD01_VD31,Estimate; Female: - Public transportation (excluding taxicab)
HD02_VD31,Margin of Error; Female: - Public transportation (excluding taxicab)
HD01_VD32,Estimate; Female: - Walked
HD02_VD32,Margin of Error; Female: - Walked
HD01_VD33,"Estimate; Female: - Taxicab, motorcycle, bicycle, or other means"
HD02_VD33,"Margin of Error; Female: - Taxicab, motorcycle, bicycle, or other means"
HD01_VD34,Estimate; Female: - Worked at home
HD02_VD34,Margin of Error; Female: - Worked at home
