GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Never married
HD02_VD03,Margin of Error; Never married
HD01_VD04,"Estimate; Now married, except separated"
HD02_VD04,"Margin of Error; Now married, except separated"
HD01_VD05,Estimate; Divorced  or separated
HD02_VD05,Margin of Error; Divorced  or separated
HD01_VD06,Estimate; Widowed
HD02_VD06,Margin of Error; Widowed
HD01_VD07,Estimate; Born in Puerto Rico:
HD02_VD07,Margin of Error; Born in Puerto Rico:
HD01_VD08,Estimate; Born in Puerto Rico: - Never married
HD02_VD08,Margin of Error; Born in Puerto Rico: - Never married
HD01_VD09,"Estimate; Born in Puerto Rico: - Now married, except separated"
HD02_VD09,"Margin of Error; Born in Puerto Rico: - Now married, except separated"
HD01_VD10,Estimate; Born in Puerto Rico: - Divorced  or separated
HD02_VD10,Margin of Error; Born in Puerto Rico: - Divorced  or separated
HD01_VD11,Estimate; Born in Puerto Rico: - Widowed
HD02_VD11,Margin of Error; Born in Puerto Rico: - Widowed
HD01_VD12,Estimate; Born in the United States:
HD02_VD12,Margin of Error; Born in the United States:
HD01_VD13,Estimate; Born in the United States: - Never married
HD02_VD13,Margin of Error; Born in the United States: - Never married
HD01_VD14,"Estimate; Born in the United States: - Now married, except separated"
HD02_VD14,"Margin of Error; Born in the United States: - Now married, except separated"
HD01_VD15,Estimate; Born in the United States: - Divorced  or separated
HD02_VD15,Margin of Error; Born in the United States: - Divorced  or separated
HD01_VD16,Estimate; Born in the United States: - Widowed
HD02_VD16,Margin of Error; Born in the United States: - Widowed
HD01_VD17,Estimate; Native; born elsewhere:
HD02_VD17,Margin of Error; Native; born elsewhere:
HD01_VD18,Estimate; Native; born elsewhere: - Never married
HD02_VD18,Margin of Error; Native; born elsewhere: - Never married
HD01_VD19,"Estimate; Native; born elsewhere: - Now married, except separated"
HD02_VD19,"Margin of Error; Native; born elsewhere: - Now married, except separated"
HD01_VD20,Estimate; Native; born elsewhere: - Divorced  or separated
HD02_VD20,Margin of Error; Native; born elsewhere: - Divorced  or separated
HD01_VD21,Estimate; Native; born elsewhere: - Widowed
HD02_VD21,Margin of Error; Native; born elsewhere: - Widowed
HD01_VD22,Estimate; Foreign born:
HD02_VD22,Margin of Error; Foreign born:
HD01_VD23,Estimate; Foreign born: - Never married
HD02_VD23,Margin of Error; Foreign born: - Never married
HD01_VD24,"Estimate; Foreign born: - Now married, except separated"
HD02_VD24,"Margin of Error; Foreign born: - Now married, except separated"
HD01_VD25,Estimate; Foreign born: - Divorced  or separated
HD02_VD25,Margin of Error; Foreign born: - Divorced  or separated
HD01_VD26,Estimate; Foreign born: - Widowed
HD02_VD26,Margin of Error; Foreign born: - Widowed
