GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Below 100 percent of the poverty level
HD02_VD03,Margin of Error; Total: - Below 100 percent of the poverty level
HD01_VD04,Estimate; Total: - 100 to 149 percent of the poverty level
HD02_VD04,Margin of Error; Total: - 100 to 149 percent of the poverty level
HD01_VD05,Estimate; Total: - At or above 150 percent of the poverty level
HD02_VD05,Margin of Error; Total: - At or above 150 percent of the poverty level
HD01_VD06,"Estimate; Total: - Car, truck, or van - drove alone:"
HD02_VD06,"Margin of Error; Total: - Car, truck, or van - drove alone:"
HD01_VD07,"Estimate; Total: - Car, truck, or van - drove alone: - Below 100 percent of the poverty level"
HD02_VD07,"Margin of Error; Total: - Car, truck, or van - drove alone: - Below 100 percent of the poverty level"
HD01_VD08,"Estimate; Total: - Car, truck, or van - drove alone: - 100 to 149 percent of the poverty level"
HD02_VD08,"Margin of Error; Total: - Car, truck, or van - drove alone: - 100 to 149 percent of the poverty level"
HD01_VD09,"Estimate; Total: - Car, truck, or van - drove alone: - At or above 150 percent of the poverty level"
HD02_VD09,"Margin of Error; Total: - Car, truck, or van - drove alone: - At or above 150 percent of the poverty level"
HD01_VD10,"Estimate; Total: - Car, truck, or van - carpooled:"
HD02_VD10,"Margin of Error; Total: - Car, truck, or van - carpooled:"
HD01_VD11,"Estimate; Total: - Car, truck, or van - carpooled: - Below 100 percent of the poverty level"
HD02_VD11,"Margin of Error; Total: - Car, truck, or van - carpooled: - Below 100 percent of the poverty level"
HD01_VD12,"Estimate; Total: - Car, truck, or van - carpooled: - 100 to 149 percent of the poverty level"
HD02_VD12,"Margin of Error; Total: - Car, truck, or van - carpooled: - 100 to 149 percent of the poverty level"
HD01_VD13,"Estimate; Total: - Car, truck, or van - carpooled: - At or above 150 percent of the poverty level"
HD02_VD13,"Margin of Error; Total: - Car, truck, or van - carpooled: - At or above 150 percent of the poverty level"
HD01_VD14,Estimate; Total: - Public transportation (excluding taxicab):
HD02_VD14,Margin of Error; Total: - Public transportation (excluding taxicab):
HD01_VD15,Estimate; Total: - Public transportation (excluding taxicab): - Below 100 percent of the poverty level
HD02_VD15,Margin of Error; Total: - Public transportation (excluding taxicab): - Below 100 percent of the poverty level
HD01_VD16,Estimate; Total: - Public transportation (excluding taxicab): - 100 to 149 percent of the poverty level
HD02_VD16,Margin of Error; Total: - Public transportation (excluding taxicab): - 100 to 149 percent of the poverty level
HD01_VD17,Estimate; Total: - Public transportation (excluding taxicab): - At or above 150 percent of the poverty level
HD02_VD17,Margin of Error; Total: - Public transportation (excluding taxicab): - At or above 150 percent of the poverty level
HD01_VD18,"Estimate; Total: - Taxicab, motorcycle, bicycle, walked, or other means:"
HD02_VD18,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, walked, or other means:"
HD01_VD19,"Estimate; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - Below 100 percent of the poverty level"
HD02_VD19,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - Below 100 percent of the poverty level"
HD01_VD20,"Estimate; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - 100 to 149 percent of the poverty level"
HD02_VD20,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - 100 to 149 percent of the poverty level"
HD01_VD21,"Estimate; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - At or above 150 percent of the poverty level"
HD02_VD21,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, walked, or other means: - At or above 150 percent of the poverty level"
HD01_VD22,Estimate; Total: - Worked at home:
HD02_VD22,Margin of Error; Total: - Worked at home:
HD01_VD23,Estimate; Total: - Worked at home: - Below 100 percent of the poverty level
HD02_VD23,Margin of Error; Total: - Worked at home: - Below 100 percent of the poverty level
HD01_VD24,Estimate; Total: - Worked at home: - 100 to 149 percent of the poverty level
HD02_VD24,Margin of Error; Total: - Worked at home: - 100 to 149 percent of the poverty level
HD01_VD25,Estimate; Total: - Worked at home: - At or above 150 percent of the poverty level
HD02_VD25,Margin of Error; Total: - Worked at home: - At or above 150 percent of the poverty level
