GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 18 years:,Margin of Error; Male: - Under 18 years:,Estimate; Male: - Under 18 years: - Native,Margin of Error; Male: - Under 18 years: - Native,Estimate; Male: - Under 18 years: - Foreign born:,Margin of Error; Male: - Under 18 years: - Foreign born:,Estimate; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Male: - 18 years and over:,Margin of Error; Male: - 18 years and over:,Estimate; Male: - 18 years and over: - Native,Margin of Error; Male: - 18 years and over: - Native,Estimate; Male: - 18 years and over: - Foreign born:,Margin of Error; Male: - 18 years and over: - Foreign born:,Estimate; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Male: - 18 years and over: - Foreign born: - Not a U.S. citizen,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 18 years:,Margin of Error; Female: - Under 18 years:,Estimate; Female: - Under 18 years: - Native,Margin of Error; Female: - Under 18 years: - Native,Estimate; Female: - Under 18 years: - Foreign born:,Margin of Error; Female: - Under 18 years: - Foreign born:,Estimate; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - Under 18 years: - Foreign born: - Not a U.S. citizen,Estimate; Female: - 18 years and over:,Margin of Error; Female: - 18 years and over:,Estimate; Female: - 18 years and over: - Native,Margin of Error; Female: - 18 years and over: - Native,Estimate; Female: - 18 years and over: - Foreign born:,Margin of Error; Female: - 18 years and over: - Foreign born:,Estimate; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Naturalized U.S. citizen,Estimate; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen,Margin of Error; Female: - 18 years and over: - Foreign born: - Not a U.S. citizen
0500000US01003,01003,"Baldwin County, Alabama",8949,*****,4809,631,1373,606,1373,606,0,192,0,192,0,192,3436,175,2206,801,1230,819,836,699,394,459,4140,631,1836,606,1836,606,0,192,0,192,0,192,2304,175,1534,495,770,505,103,164,667,495
0500000US01069,01069,"Houston County, Alabama",3447,*****,2045,144,918,115,915,115,3,7,3,7,0,192,1127,91,437,228,690,214,376,137,314,150,1402,144,413,115,413,115,0,192,0,192,0,192,989,91,695,203,294,171,222,156,72,83
0500000US01073,01073,"Jefferson County, Alabama",25154,*****,13682,393,4563,281,4263,418,300,338,0,192,300,338,9119,277,2388,926,6731,879,588,343,6143,961,11472,393,4931,281,4634,364,297,311,0,192,297,311,6541,277,2823,917,3718,919,325,262,3393,913
0500000US01077,01077,"Lauderdale County, Alabama",2243,*****,1523,223,683,152,683,152,0,192,0,192,0,192,840,158,602,267,238,213,177,143,61,86,720,223,175,152,175,152,0,192,0,192,0,192,545,158,170,160,375,156,120,105,255,207
0500000US01089,01089,"Madison County, Alabama",16242,*****,9289,727,3376,727,2958,422,418,561,0,192,418,561,5913,*****,2799,906,3114,907,620,583,2494,1020,6953,727,2290,727,2070,680,220,338,0,192,220,338,4663,*****,2210,725,2453,726,695,623,1758,739
0500000US01097,01097,"Mobile County, Alabama",10789,*****,5773,361,1643,361,1643,361,0,192,0,192,0,192,4130,*****,2560,611,1570,610,210,215,1360,627,5016,362,1698,361,1523,323,175,213,0,192,175,213,3318,*****,1765,477,1553,478,344,280,1209,555
0500000US01101,01101,"Montgomery County, Alabama",7770,*****,4686,515,2228,510,2228,510,0,192,0,192,0,192,2458,87,1084,526,1374,515,171,185,1203,448,3084,515,892,510,892,510,0,192,0,192,0,192,2192,87,538,386,1654,388,101,114,1553,397
0500000US01103,01103,"Morgan County, Alabama",9328,*****,5048,730,1806,682,1646,774,160,259,0,192,160,259,3242,155,1192,468,2050,437,282,239,1768,491,4280,730,1924,682,1625,722,299,429,0,192,299,429,2356,155,623,516,1733,430,23,43,1710,435
0500000US01117,01117,"Shelby County, Alabama",12292,*****,6444,485,2551,455,2100,663,451,519,0,192,451,519,3893,116,1041,1007,2852,955,110,141,2742,982,5848,485,2264,455,1731,694,533,412,0,192,533,412,3584,115,1027,445,2557,476,627,459,1930,528
