GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total living in area 1 year ago:,Margin of Error; Total living in area 1 year ago:,Estimate; Total living in area 1 year ago: - Same house,Margin of Error; Total living in area 1 year ago: - Same house,Estimate; Total living in area 1 year ago: - Moved within same county,Margin of Error; Total living in area 1 year ago: - Moved within same county,Estimate; Total living in area 1 year ago: - Moved to different county within same state,Margin of Error; Total living in area 1 year ago: - Moved to different county within same state,Estimate; Total living in area 1 year ago: - Moved to different state,Margin of Error; Total living in area 1 year ago: - Moved to different state
0500000US01003,01003,"Baldwin County, Alabama",1656,414,1465,392,166,115,25,41,0,27
0500000US01031,01031,"Coffee County, Alabama",546,82,517,83,13,14,12,14,4,6
0500000US01049,01049,"DeKalb County, Alabama",978,300,852,270,92,74,34,61,0,27
0500000US01053,01053,"Escambia County, Alabama",1299,115,1268,118,7,10,24,32,0,24
0500000US01057,01057,"Fayette County, Alabama",0,18,0,18,0,18,0,18,0,18
0500000US01065,01065,"Hale County, Alabama",0,18,0,18,0,18,0,18,0,18
0500000US01069,01069,"Houston County, Alabama",373,98,275,66,98,74,0,27,0,27
0500000US01071,01071,"Jackson County, Alabama",575,185,551,181,8,12,16,19,0,27
0500000US01073,01073,"Jefferson County, Alabama",1514,319,1178,305,269,133,55,50,12,13
0500000US01079,01079,"Lawrence County, Alabama",1694,365,1568,353,126,93,0,24,0,24
0500000US01089,01089,"Madison County, Alabama",2136,336,1974,319,135,119,7,14,20,22
0500000US01095,01095,"Marshall County, Alabama",650,327,634,322,16,15,0,27,0,27
0500000US01097,01097,"Mobile County, Alabama",2609,390,2381,398,134,90,10,17,84,71
0500000US01103,01103,"Morgan County, Alabama",690,234,543,225,88,81,59,63,0,27
0500000US01129,01129,"Washington County, Alabama",1233,128,1168,126,60,87,5,9,0,18
0500000US02013,02013,"Aleutians East Borough, Alaska",1260,200,1147,185,74,29,39,27,0,11
0500000US02016,02016,"Aleutians West Census Area, Alaska",663,41,624,40,31,19,6,9,2,5
0500000US02020,02020,"Anchorage Municipality, Alaska",21113,1122,17178,1109,2537,521,1030,149,368,151
0500000US02050,02050,"Bethel Census Area, Alaska",14697,285,12857,227,1306,173,532,228,2,4
0500000US02060,02060,"Bristol Bay Borough, Alaska",307,48,267,42,19,10,21,22,0,11
0500000US02070,02070,"Dillingham Census Area, Alaska",3599,102,3175,95,291,68,113,91,20,31
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",6840,694,5364,735,908,333,466,139,102,71
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",829,92,775,86,20,14,34,28,0,11
0500000US02110,02110,"Juneau City and Borough, Alaska",3416,382,2639,349,634,396,116,54,27,28
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",3971,341,3206,325,536,183,149,79,80,53
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",1820,143,1375,144,366,98,34,22,45,47
0500000US02150,02150,"Kodiak Island Borough, Alaska",1886,205,1616,214,173,97,72,46,25,44
0500000US02158,02158,"Kusilvak Census Area, Alaska",7327,133,6756,95,299,50,267,120,5,10
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",877,218,769,190,61,24,47,65,0,11
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",5038,448,3965,337,501,167,427,189,145,88
0500000US02180,02180,"Nome Census Area, Alaska",7276,298,6296,147,608,108,340,271,32,25
0500000US02185,02185,"North Slope Borough, Alaska",4880,207,4339,204,403,122,135,111,3,8
0500000US02188,02188,"Northwest Arctic Borough, Alaska",6158,103,5505,134,554,117,85,54,14,17
0500000US02195,02195,"Petersburg Borough, Alaska",221,50,199,46,19,13,3,6,0,11
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",2708,135,2352,106,159,45,174,93,23,25
0500000US02220,02220,"Sitka City and Borough, Alaska",1189,150,1036,142,103,50,38,33,12,13
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",793,87,720,82,39,19,31,24,3,5
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",1228,186,1134,173,46,36,48,32,0,16
0500000US02275,02275,"Wrangell City and Borough, Alaska",531,100,471,98,45,33,15,18,0,11
0500000US02282,02282,"Yakutat City and Borough, Alaska",211,46,173,33,15,9,20,31,3,8
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",4015,266,3429,60,244,40,339,263,3,4
0500000US04001,04001,"Apache County, Arizona",53551,641,49856,452,1264,268,1432,419,999,370
0500000US04003,04003,"Cochise County, Arizona",1344,256,1117,239,97,60,90,60,40,36
