GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Never married,Margin of Error; Never married,"Estimate; Now married, except separated","Margin of Error; Now married, except separated",Estimate; Divorced or separated,Margin of Error; Divorced or separated,Estimate; Widowed,Margin of Error; Widowed,Estimate; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Estimate; Same house 1 year ago: - Never married,Margin of Error; Same house 1 year ago: - Never married,"Estimate; Same house 1 year ago: - Now married, except separated","Margin of Error; Same house 1 year ago: - Now married, except separated",Estimate; Same house 1 year ago: - Divorced or separated,Margin of Error; Same house 1 year ago: - Divorced or separated,Estimate; Same house 1 year ago: - Widowed,Margin of Error; Same house 1 year ago: - Widowed,Estimate; Moved within same county:,Margin of Error; Moved within same county:,Estimate; Moved within same county: - Never married,Margin of Error; Moved within same county: - Never married,"Estimate; Moved within same county: - Now married, except separated","Margin of Error; Moved within same county: - Now married, except separated",Estimate; Moved within same county: - Divorced or separated,Margin of Error; Moved within same county: - Divorced or separated,Estimate; Moved within same county: - Widowed,Margin of Error; Moved within same county: - Widowed,Estimate; Moved from different county within same state:,Margin of Error; Moved from different county within same state:,Estimate; Moved from different county within same state: - Never married,Margin of Error; Moved from different county within same state: - Never married,"Estimate; Moved from different county within same state: - Now married, except separated","Margin of Error; Moved from different county within same state: - Now married, except separated",Estimate; Moved from different county within same state: - Divorced or separated,Margin of Error; Moved from different county within same state: - Divorced or separated,Estimate; Moved from different county within same state: - Widowed,Margin of Error; Moved from different county within same state: - Widowed,Estimate; Moved from different state:,Margin of Error; Moved from different state:,Estimate; Moved from different state: - Never married,Margin of Error; Moved from different state: - Never married,"Estimate; Moved from different state: - Now married, except separated","Margin of Error; Moved from different state: - Now married, except separated",Estimate; Moved from different state: - Divorced or separated,Margin of Error; Moved from different state: - Divorced or separated,Estimate; Moved from different state: - Widowed,Margin of Error; Moved from different state: - Widowed,Estimate; Moved from abroad:,Margin of Error; Moved from abroad:,Estimate; Moved from abroad: - Never married,Margin of Error; Moved from abroad: - Never married,"Estimate; Moved from abroad: - Now married, except separated","Margin of Error; Moved from abroad: - Now married, except separated",Estimate; Moved from abroad: - Divorced or separated,Margin of Error; Moved from abroad: - Divorced or separated,Estimate; Moved from abroad: - Widowed,Margin of Error; Moved from abroad: - Widowed
0500000US01001,01001,"Autauga County, Alabama",38200,82,9175,656,21699,1061,5412,687,1914,318,32707,851,7563,617,19252,1062,4117,568,1775,291,2482,605,845,335,1049,364,519,205,69,59,1414,324,327,146,535,264,494,217,58,56,1498,612,398,363,806,366,282,202,12,20,99,92,42,53,57,77,0,154,0,154
0500000US01003,01003,"Baldwin County, Alabama",135106,177,28508,1442,81738,2432,15669,1516,9191,837,111894,1704,20538,1481,70834,2334,12180,1298,8342,848,11575,1487,3804,913,5501,1182,1797,422,473,219,2877,593,922,292,1210,431,647,219,98,79,7863,1326,2603,682,3988,994,1019,398,253,145,897,668,641,649,205,175,26,30,25,42
0500000US01005,01005,"Barbour County, Alabama",22868,26,6977,632,10262,817,3596,605,2033,243,19117,532,5622,654,9021,859,2659,510,1815,248,1572,427,568,256,649,310,253,154,102,71,1728,296,557,154,529,225,610,184,32,41,451,215,230,166,63,67,74,72,84,84,0,154,0,154,0,154,0,154,0,154
0500000US01009,01009,"Blount County, Alabama",44300,191,9040,820,25364,1345,6577,964,3319,612,38993,900,8053,840,23054,1285,5046,892,2840,566,2912,691,365,230,1320,439,939,437,288,172,1555,467,227,147,626,258,540,351,162,113,493,247,216,172,196,205,52,78,29,49,347,357,179,173,168,200,0,154,0,154
0500000US01013,01013,"Butler County, Alabama",16218,*****,4795,424,6940,696,2684,449,1799,274,14943,358,4321,498,6545,631,2374,459,1703,268,906,345,380,217,273,176,182,117,71,64,209,136,79,77,95,94,10,18,25,44,160,121,15,28,27,37,118,101,0,154,0,154,0,154,0,154,0,154,0,154
0500000US01015,01015,"Calhoun County, Alabama",90980,157,21293,1209,47048,1895,14834,1251,7805,585,75759,1345,15061,1093,42046,1642,11310,1102,7342,540,9400,1081,3292,569,3251,784,2511,539,346,250,2937,653,1424,431,932,346,522,240,59,57,2579,630,1384,418,663,378,474,245,58,49,305,297,132,100,156,210,17,28,0,154
0500000US01017,01017,"Chambers County, Alabama",28021,112,6911,617,14920,1041,3726,623,2464,326,24761,650,6045,568,13298,968,3104,581,2314,334,1688,463,455,206,942,392,214,110,77,58,447,169,120,96,191,145,91,76,45,55,1095,370,291,153,459,193,317,182,28,45,30,54,0,154,30,54,0,154,0,154
0500000US01019,01019,"Cherokee County, Alabama",20167,129,3263,590,12722,1023,2350,519,1832,324,18183,507,2742,620,11794,1005,1923,473,1724,289,1118,455,336,225,454,306,298,178,30,47,362,186,47,65,174,129,115,96,26,41,499,245,138,117,295,184,14,19,52,84,5,29,0,154,5,29,0,154,0,154
0500000US01021,01021,"Chilton County, Alabama",33251,167,6634,718,20395,1102,3845,556,2377,407,29233,829,5667,784,18293,973,3230,490,2043,345,2668,697,485,269,1647,627,369,180,167,131,901,322,272,192,317,199,209,122,103,172,364,208,206,147,81,102,13,22,64,74,85,80,4,8,57,76,24,28,0,154
