GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Family households:,Margin of Error; Family households:,Estimate; Family households: - Married-couple family,Margin of Error; Family households: - Married-couple family,Estimate; Family households: - Other family,Margin of Error; Family households: - Other family,Estimate; Nonfamily households,Margin of Error; Nonfamily households
0500000US01003,01003,"Baldwin County, Alabama",430,172,297,132,145,105,152,104,133,102
0500000US01031,01031,"Coffee County, Alabama",132,56,84,42,84,42,0,158,48,43
0500000US01049,01049,"DeKalb County, Alabama",308,129,239,112,217,104,22,25,69,59
0500000US01053,01053,"Escambia County, Alabama",730,145,506,114,333,104,173,125,224,135
0500000US01069,01069,"Houston County, Alabama",147,47,109,45,64,31,45,35,38,20
0500000US01071,01071,"Jackson County, Alabama",300,101,159,79,75,55,84,59,141,72
0500000US01073,01073,"Jefferson County, Alabama",580,205,364,171,185,109,179,135,216,131
0500000US01079,01079,"Lawrence County, Alabama",682,167,586,165,450,157,136,118,96,77
0500000US01081,01081,"Lee County, Alabama",170,82,109,68,60,47,49,50,61,47
0500000US01089,01089,"Madison County, Alabama",546,135,403,108,347,105,56,43,143,81
0500000US01097,01097,"Mobile County, Alabama",924,186,719,160,549,181,170,104,205,92
0500000US01103,01103,"Morgan County, Alabama",425,114,329,111,199,81,130,102,96,84
0500000US01125,01125,"Tuscaloosa County, Alabama",229,113,139,83,139,83,0,158,90,70
0500000US02020,02020,"Anchorage Municipality, Alaska",5172,509,3557,500,1612,340,1945,431,1615,295
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",1780,379,1178,307,535,177,643,285,602,204
0500000US02110,02110,"Juneau City and Borough, Alaska",1246,217,809,197,480,130,329,169,437,153
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",1124,220,738,181,376,111,362,146,386,146
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",635,157,454,133,336,115,118,61,181,79
0500000US04001,04001,"Apache County, Arizona",12139,764,8642,704,4239,396,4403,507,3497,373
0500000US04003,04003,"Cochise County, Arizona",558,209,427,179,225,129,202,116,131,90
0500000US04005,04005,"Coconino County, Arizona",9347,635,7369,519,3854,423,3515,568,1978,381
0500000US04007,04007,"Gila County, Arizona",1331,331,995,265,534,224,461,165,336,161
0500000US04009,04009,"Graham County, Arizona",1551,257,1062,178,515,158,547,162,489,200
0500000US04012,04012,"La Paz County, Arizona",1012,182,731,162,290,117,441,123,281,109
0500000US04013,04013,"Maricopa County, Arizona",19340,935,12926,750,5384,627,7542,679,6414,853
0500000US04015,04015,"Mohave County, Arizona",1026,261,836,238,492,169,344,155,190,89
0500000US04017,04017,"Navajo County, Arizona",12412,702,9970,700,5175,474,4795,525,2442,385
0500000US04019,04019,"Pima County, Arizona",8705,645,6191,567,2610,406,3581,438,2514,377
0500000US04021,04021,"Pinal County, Arizona",4150,501,3202,483,985,287,2217,471,948,353
0500000US04025,04025,"Yavapai County, Arizona",1358,308,593,171,226,101,367,144,765,288
0500000US04027,04027,"Yuma County, Arizona",768,170,613,167,338,148,275,114,155,85
0500000US05007,05007,"Benton County, Arkansas",910,234,764,229,652,224,112,73,146,103
0500000US05045,05045,"Faulkner County, Arkansas",225,116,122,74,53,37,69,64,103,98
0500000US05119,05119,"Pulaski County, Arkansas",477,173,352,151,286,121,66,70,125,83
0500000US05131,05131,"Sebastian County, Arkansas",245,112,147,89,109,68,38,52,98,59
0500000US05143,05143,"Washington County, Arkansas",850,229,592,203,429,197,163,131,258,130
0500000US06001,06001,"Alameda County, California",2898,417,1706,314,1227,287,479,206,1192,312
0500000US06007,06007,"Butte County, California",862,230,624,200,362,158,262,152,238,114
0500000US06009,06009,"Calaveras County, California",259,140,177,103,145,103,32,27,82,108
0500000US06013,06013,"Contra Costa County, California",1602,296,1269,247,949,248,320,134,333,151
0500000US06015,06015,"Del Norte County, California",430,158,211,113,182,115,29,41,219,156
0500000US06017,06017,"El Dorado County, California",457,166,244,143,152,98,92,86,213,139
0500000US06019,06019,"Fresno County, California",2708,377,1911,358,827,224,1084,253,797,241
0500000US06021,06021,"Glenn County, California",194,70,115,64,69,52,46,45,79,57
0500000US06023,06023,"Humboldt County, California",2348,369,1564,296,823,247,741,214,784,230
0500000US06025,06025,"Imperial County, California",956,213,689,181,374,146,315,147,267,172
0500000US06029,06029,"Kern County, California",2688,369,1975,309,1238,281,737,196,713,303
0500000US06031,06031,"Kings County, California",498,163,314,151,133,89,181,124,184,110
0500000US06033,06033,"Lake County, California",481,204,320,149,155,104,165,122,161,144
0500000US06035,06035,"Lassen County, California",423,142,290,141,180,128,110,93,133,100
0500000US06037,06037,"Los Angeles County, California",18200,1009,11940,752,7758,632,4182,462,6260,649
0500000US06039,06039,"Madera County, California",831,294,547,221,314,183,233,131,284,200
0500000US06041,06041,"Marin County, California",305,165,247,156,169,124,78,75,58,64
0500000US06045,06045,"Mendocino County, California",1473,244,1000,214,420,170,580,171,473,191
0500000US06047,06047,"Merced County, California",796,176,488,177,332,149,156,108,308,97
0500000US06053,06053,"Monterey County, California",659,186,533,165,349,127,184,95,126,98
0500000US06055,06055,"Napa County, California",404,185,295,178,125,103,170,151,109,135
0500000US06057,06057,"Nevada County, California",317,129,271,122,152,90,119,74,46,40
0500000US06059,06059,"Orange County, California",4833,447,3489,401,2234,326,1255,351,1344,346
0500000US06061,06061,"Placer County, California",884,262,681,242,570,233,111,85,203,128
0500000US06065,06065,"Riverside County, California",6811,850,4927,668,3445,563,1482,372,1884,453
0500000US06067,06067,"Sacramento County, California",4844,581,3114,474,1787,373,1327,365,1730,372
0500000US06069,06069,"San Benito County, California",258,119,193,110,161,101,32,47,65,62
0500000US06071,06071,"San Bernardino County, California",6893,835,5110,743,2992,526,2118,428,1783,427
