GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Born in state of residence,Margin of Error; Born in state of residence,Estimate; Born in other state in the United States,Margin of Error; Born in other state in the United States,Estimate; Native; born outside the United States,Margin of Error; Native; born outside the United States,Estimate; Foreign born,Margin of Error; Foreign born
0500000US01073,01073,"Jefferson County, Alabama",5439,1331,4031,1124,1146,420,0,273,262,277
0500000US01081,01081,"Lee County, Alabama",2594,1164,1203,1003,1261,688,130,132,0,273
0500000US01089,01089,"Madison County, Alabama",8191,2010,4825,1552,2172,722,421,268,773,549
0500000US01097,01097,"Mobile County, Alabama",5079,1845,3046,1659,1496,624,449,547,88,147
0500000US01101,01101,"Montgomery County, Alabama",2561,1140,1411,752,754,510,252,217,144,233
0500000US02020,02020,"Anchorage Municipality, Alaska",21292,2585,13305,2022,7441,1688,245,173,301,357
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",6442,1613,3545,1243,2500,930,218,263,179,320
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",7999,1159,5373,792,2385,848,234,206,7,13
0500000US04003,04003,"Cochise County, Arizona",5911,1535,2191,936,2882,1140,285,318,553,354
0500000US04005,04005,"Coconino County, Arizona",4112,1260,2836,1051,959,498,317,330,0,305
0500000US04013,04013,"Maricopa County, Arizona",108908,8207,55027,6020,42012,5075,3649,1132,8220,2157
0500000US04015,04015,"Mohave County, Arizona",9159,2094,4263,1388,4494,1302,132,212,270,454
0500000US04019,04019,"Pima County, Arizona",25620,3246,14930,2642,9039,2074,1088,515,563,278
0500000US04021,04021,"Pinal County, Arizona",9694,2610,3750,1296,5428,2106,361,428,155,154
0500000US04025,04025,"Yavapai County, Arizona",6260,1839,3993,1901,1978,938,121,215,168,197
0500000US04027,04027,"Yuma County, Arizona",3957,1396,2432,1210,1295,649,87,141,143,188
0500000US05007,05007,"Benton County, Arkansas",4878,1236,1746,746,2319,760,312,305,501,603
0500000US05045,05045,"Faulkner County, Arkansas",2422,1201,1472,877,436,333,0,273,514,625
0500000US05119,05119,"Pulaski County, Arkansas",9204,2503,4885,1822,4018,1339,191,236,110,136
0500000US05131,05131,"Sebastian County, Arkansas",6630,1050,4842,1055,1572,767,0,273,216,258
0500000US06001,06001,"Alameda County, California",74092,7000,55455,6072,9595,1742,1874,669,7168,1612
0500000US06007,06007,"Butte County, California",13665,2061,9611,1763,2901,829,418,446,735,674
0500000US06013,06013,"Contra Costa County, California",44725,4257,33888,3829,5219,1282,2248,974,3370,1282
0500000US06017,06017,"El Dorado County, California",6995,1300,5591,1071,816,491,213,192,375,426
0500000US06019,06019,"Fresno County, California",32877,4869,24811,3594,4548,1281,952,569,2566,1085
0500000US06023,06023,"Humboldt County, California",3982,1062,3207,1008,512,293,76,111,187,222
0500000US06025,06025,"Imperial County, California",4062,1329,2761,1028,549,375,89,107,663,551
0500000US06029,06029,"Kern County, California",29179,4311,23063,3756,3353,1142,859,485,1904,748
0500000US06031,06031,"Kings County, California",4906,1341,3577,1127,678,363,0,294,651,521
0500000US06037,06037,"Los Angeles County, California",318020,14167,224482,11344,43476,4064,6019,1266,44043,4216
0500000US06039,06039,"Madera County, California",4545,1375,3466,1213,788,737,46,78,245,254
0500000US06041,06041,"Marin County, California",8011,1577,6349,1517,1352,556,92,145,218,277
0500000US06045,06045,"Mendocino County, California",3399,1413,2283,958,763,464,0,294,353,418
0500000US06047,06047,"Merced County, California",6394,1726,4151,1317,1303,722,126,151,814,467
0500000US06053,06053,"Monterey County, California",14680,3213,10115,2724,1998,695,581,356,1986,1072
0500000US06059,06059,"Orange County, California",87548,6532,63256,5264,9757,1820,2535,759,12000,2736
0500000US06061,06061,"Placer County, California",10695,2281,7712,2041,2253,688,314,218,416,315
0500000US06065,06065,"Riverside County, California",79223,6481,59767,5222,11592,1725,1275,523,6589,1587
0500000US06067,06067,"Sacramento County, California",75349,6373,59173,5894,10867,1977,2024,611,3285,1166
