GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Grandparent householder and/or spouse responsible for grandchildren under 18 years (dollars),Margin of Error; Grandparent householder and/or spouse responsible for grandchildren under 18 years (dollars),Estimate; Grandparent householder and/or spouse responsible for grandchildren under 18 years and no parent present (dollars),Margin of Error; Grandparent householder and/or spouse responsible for grandchildren under 18 years and no parent present (dollars)
0500000US01015,01015,"Calhoun County, Alabama",33314,8220,25960,5601,30870,25025
0500000US01051,01051,"Elmore County, Alabama",64195,9155,67065,42062,65072,27830
0500000US01055,01055,"Etowah County, Alabama",29080,14680,27703,17694,18626,10024
0500000US01069,01069,"Houston County, Alabama",31933,10617,29640,7116,18092,16133
0500000US01073,01073,"Jefferson County, Alabama",46091,7552,34563,10192,30047,14845
0500000US01077,01077,"Lauderdale County, Alabama",31693,18457,30855,8458,31384,13343
0500000US01081,01081,"Lee County, Alabama",62664,41838,75928,49896,100207,28193
0500000US01083,01083,"Limestone County, Alabama",45469,16351,45923,32551,125257,139041
0500000US01089,01089,"Madison County, Alabama",56902,26210,47556,22790,35929,16269
0500000US01095,01095,"Marshall County, Alabama",29447,32385,27730,25412,29600,21770
0500000US01097,01097,"Mobile County, Alabama",35341,10744,25412,3048,20360,7635
0500000US01101,01101,"Montgomery County, Alabama",44444,8682,39306,10912,38728,22275
0500000US01103,01103,"Morgan County, Alabama",37529,13036,34511,29542,33835,33080
0500000US01121,01121,"Talladega County, Alabama",37980,11674,29152,19857,16279,13068
0500000US01125,01125,"Tuscaloosa County, Alabama",41406,17953,50929,31824,27762,19075
0500000US01127,01127,"Walker County, Alabama",37470,19857,37037,13651,43198,25394
0500000US02020,02020,"Anchorage Municipality, Alaska",106029,49421,103086,71114,47179,22578
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",42724,38974,28799,13753,-,**
0500000US04001,04001,"Apache County, Arizona",31124,11119,20805,20255,16858,7948
0500000US04003,04003,"Cochise County, Arizona",61996,30767,49504,26810,40329,29176
0500000US04013,04013,"Maricopa County, Arizona",57683,5901,49741,6649,31466,8491
0500000US04017,04017,"Navajo County, Arizona",38946,4098,52606,24081,38307,11202
0500000US04019,04019,"Pima County, Arizona",50532,7889,42919,6323,45989,6441
0500000US04025,04025,"Yavapai County, Arizona",71250,22605,54912,44879,52146,14419
0500000US05007,05007,"Benton County, Arkansas",39429,10685,36224,6269,26386,10556
0500000US05031,05031,"Craighead County, Arkansas",30822,23251,26507,4623,18899,8577
0500000US05119,05119,"Pulaski County, Arkansas",48473,8511,45497,14625,38608,8723
0500000US05125,05125,"Saline County, Arkansas",58697,6349,56976,6428,56023,29012
0500000US05131,05131,"Sebastian County, Arkansas",43433,32864,44067,24057,29914,30807
0500000US05143,05143,"Washington County, Arkansas",57875,45711,58355,71601,25901,10488
0500000US06001,06001,"Alameda County, California",60136,8698,53340,8478,25513,23661
0500000US06007,06007,"Butte County, California",44247,8509,44205,22807,25675,7417
0500000US06013,06013,"Contra Costa County, California",67942,8524,50883,19597,34184,31174
0500000US06017,06017,"El Dorado County, California",71639,29205,61361,55651,61222,66702
0500000US06019,06019,"Fresno County, California",50628,9045,49619,24020,23810,26160
0500000US06023,06023,"Humboldt County, California",38377,26334,37165,22558,21768,21382
0500000US06025,06025,"Imperial County, California",31341,13427,21263,8689,21462,9240
0500000US06029,06029,"Kern County, California",46223,5095,42940,8891,44776,14928
0500000US06033,06033,"Lake County, California",22234,32922,40524,28317,-,**
0500000US06037,06037,"Los Angeles County, California",55230,3010,49096,2581,30576,3960
0500000US06041,06041,"Marin County, California",100187,47014,94738,54543,50840,46479
0500000US06045,06045,"Mendocino County, California",41579,11306,39500,3962,37813,2676
0500000US06047,06047,"Merced County, California",42880,8871,43212,13344,41674,27593
0500000US06053,06053,"Monterey County, California",47944,12231,34135,9130,25402,15245
0500000US06059,06059,"Orange County, California",70810,4906,65832,4083,50791,9708
0500000US06061,06061,"Placer County, California",75600,18458,72315,20020,70093,25341
0500000US06065,06065,"Riverside County, California",61433,4104,54021,8310,47992,14474
0500000US06067,06067,"Sacramento County, California",59985,12003,47039,15782,28537,10057
0500000US06071,06071,"San Bernardino County, California",63382,7032,55873,9387,35912,8501
0500000US06073,06073,"San Diego County, California",64223,6199,54806,8452,35677,13377
0500000US06077,06077,"San Joaquin County, California",61369,5412,60103,10095,33866,11914
0500000US06079,06079,"San Luis Obispo County, California",45149,22436,36250,15175,40344,7625
0500000US06081,06081,"San Mateo County, California",78140,21760,47117,22470,76458,58776
0500000US06083,06083,"Santa Barbara County, California",72077,17532,70303,20952,65502,67033
0500000US06085,06085,"Santa Clara County, California",70258,8508,57494,6708,36827,20843
0500000US06095,06095,"Solano County, California",67560,14457,57600,21178,40104,41470
0500000US06097,06097,"Sonoma County, California",58811,11126,52039,10851,48292,22861
0500000US06099,06099,"Stanislaus County, California",56199,11174,47755,15965,33664,40396
0500000US06101,06101,"Sutter County, California",64406,9070,66607,14214,40718,41884
0500000US06107,06107,"Tulare County, California",55093,12832,46290,5938,43293,33039
0500000US06111,06111,"Ventura County, California",74192,16538,103262,25400,96982,87408
0500000US08005,08005,"Arapahoe County, Colorado",65613,8581,61303,29018,34790,17319
0500000US08013,08013,"Boulder County, Colorado",68962,27408,85538,52612,-,**
0500000US08031,08031,"Denver County, Colorado",40591,8138,38262,8564,23381,18410
0500000US08035,08035,"Douglas County, Colorado",123680,42196,101257,39359,71432,39217
