GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,"Estimate; Male: - Worked full-time, year-round in the past 12 months:"
HD02_VD03,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months:"
HD01_VD04,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - No earnings"
HD02_VD04,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - No earnings"
HD01_VD05,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings:"
HD02_VD05,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings:"
HD01_VD06,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $2,499 or loss"
HD02_VD06,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $2,499 or loss"
HD01_VD07,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $2,500 to $4,999"
HD02_VD07,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $2,500 to $4,999"
HD01_VD08,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $5,000 to $7,499"
HD02_VD08,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $5,000 to $7,499"
HD01_VD09,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $7,500 to $9,999"
HD02_VD09,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $7,500 to $9,999"
HD01_VD10,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $12,499"
HD02_VD10,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $12,499"
HD01_VD11,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $12,500 to $14,999"
HD02_VD11,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $12,500 to $14,999"
HD01_VD12,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $15,000 to $17,499"
HD02_VD12,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $15,000 to $17,499"
HD01_VD13,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $17,500 to $19,999"
HD02_VD13,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $17,500 to $19,999"
HD01_VD14,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $22,499"
HD02_VD14,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $22,499"
HD01_VD15,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $22,500 to $24,999"
HD02_VD15,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $22,500 to $24,999"
HD01_VD16,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $25,000 to $29,999"
HD02_VD16,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $25,000 to $29,999"
HD01_VD17,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $34,999"
HD02_VD17,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $34,999"
HD01_VD18,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $35,000 to $39,999"
HD02_VD18,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $35,000 to $39,999"
HD01_VD19,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $40,000 to $44,999"
HD02_VD19,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $40,000 to $44,999"
HD01_VD20,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $45,000 to $49,999"
HD02_VD20,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $45,000 to $49,999"
HD01_VD21,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $54,999"
HD02_VD21,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $54,999"
HD01_VD22,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $55,000 to $64,999"
HD02_VD22,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $55,000 to $64,999"
HD01_VD23,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $65,000 to $74,999"
HD02_VD23,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $65,000 to $74,999"
HD01_VD24,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 to $99,999"
HD02_VD24,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 to $99,999"
HD01_VD25,"Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $100,000 or more"
HD02_VD25,"Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $100,000 or more"
HD01_VD26,Estimate; Male: - Other:
HD02_VD26,Margin of Error; Male: - Other:
HD01_VD27,Estimate; Male: - Other: - No earnings
HD02_VD27,Margin of Error; Male: - Other: - No earnings
HD01_VD28,Estimate; Male: - Other: - With earnings:
HD02_VD28,Margin of Error; Male: - Other: - With earnings:
HD01_VD29,"Estimate; Male: - Other: - With earnings: - $1 to $2,499 or loss"
HD02_VD29,"Margin of Error; Male: - Other: - With earnings: - $1 to $2,499 or loss"
HD01_VD30,"Estimate; Male: - Other: - With earnings: - $2,500 to $4,999"
HD02_VD30,"Margin of Error; Male: - Other: - With earnings: - $2,500 to $4,999"
HD01_VD31,"Estimate; Male: - Other: - With earnings: - $5,000 to $7,499"
HD02_VD31,"Margin of Error; Male: - Other: - With earnings: - $5,000 to $7,499"
HD01_VD32,"Estimate; Male: - Other: - With earnings: - $7,500 to $9,999"
HD02_VD32,"Margin of Error; Male: - Other: - With earnings: - $7,500 to $9,999"
HD01_VD33,"Estimate; Male: - Other: - With earnings: - $10,000 to $12,499"
HD02_VD33,"Margin of Error; Male: - Other: - With earnings: - $10,000 to $12,499"
HD01_VD34,"Estimate; Male: - Other: - With earnings: - $12,500 to $14,999"
HD02_VD34,"Margin of Error; Male: - Other: - With earnings: - $12,500 to $14,999"
HD01_VD35,"Estimate; Male: - Other: - With earnings: - $15,000 to $17,499"
HD02_VD35,"Margin of Error; Male: - Other: - With earnings: - $15,000 to $17,499"
