GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Income in the past 12 months below poverty level:,Margin of Error; Income in the past 12 months below poverty level:,Estimate; Income in the past 12 months below poverty level: - Male:,Margin of Error; Income in the past 12 months below poverty level: - Male:,Estimate; Income in the past 12 months below poverty level: - Male: - Under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - Under 18 years,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Male: - 18 to 64 years,Estimate; Income in the past 12 months below poverty level: - Male: - 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Male: - 65 years and over,Estimate; Income in the past 12 months below poverty level: - Female:,Margin of Error; Income in the past 12 months below poverty level: - Female:,Estimate; Income in the past 12 months below poverty level: - Female: - Under 18 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - Under 18 years,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 64 years,Margin of Error; Income in the past 12 months below poverty level: - Female: - 18 to 64 years,Estimate; Income in the past 12 months below poverty level: - Female: - 65 years and over,Margin of Error; Income in the past 12 months below poverty level: - Female: - 65 years and over,Estimate; Income in the past 12 months at or above poverty level:,Margin of Error; Income in the past 12 months at or above poverty level:,Estimate; Income in the past 12 months at or above poverty level: - Male:,Margin of Error; Income in the past 12 months at or above poverty level: - Male:,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - Under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 18 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Male: - 65 years and over,Estimate; Income in the past 12 months at or above poverty level: - Female:,Margin of Error; Income in the past 12 months at or above poverty level: - Female:,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 18 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - Under 18 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 64 years,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 18 to 64 years,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 years and over,Margin of Error; Income in the past 12 months at or above poverty level: - Female: - 65 years and over
0500000US02020,02020,"Anchorage Municipality, Alaska",15405,1967,2617,1147,1134,507,338,454,796,265,0,237,1483,782,453,414,1030,534,0,237,12788,1802,6094,924,1339,561,4228,711,527,141,6694,1213,1388,521,4733,896,573,332
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",4824,989,1297,603,507,320,131,185,247,230,129,198,790,453,278,274,512,346,0,237,3527,818,1481,664,260,216,1157,617,64,101,2046,709,375,283,1368,417,303,297
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",4316,759,1639,750,1088,563,170,148,918,525,0,237,551,327,70,91,481,333,0,237,2677,721,1133,432,494,231,575,291,64,89,1544,439,440,237,762,286,342,160
0500000US04001,04001,"Apache County, Arizona",51034,857,21143,2840,10428,1477,4192,906,5284,843,952,323,10715,1704,3878,901,5472,1060,1365,318,29891,2808,14338,1483,4153,865,8961,833,1224,360,15553,1701,4328,910,9535,1092,1690,373
0500000US04005,04005,"Coconino County, Arizona",36550,1663,8186,2427,3232,1194,1268,626,1720,770,244,136,4954,1627,1831,699,2681,989,442,201,28364,2307,14848,1433,5059,846,8915,961,874,136,13516,1462,4214,778,8357,959,945,244
0500000US04013,04013,"Maricopa County, Arizona",67160,2356,17582,4413,8396,2237,4385,1497,4011,1316,0,292,9186,2453,3643,1278,5496,1528,47,79,49578,4258,24295,2296,6392,1307,17073,1496,830,263,25283,2559,7327,1416,16537,1599,1419,331
0500000US04017,04017,"Navajo County, Arizona",50359,1163,17439,3369,8184,1646,3224,1019,4332,903,628,314,9255,2056,3272,1078,5089,1145,894,338,32920,3584,16029,1758,5788,1044,9360,956,881,330,16891,2225,5720,1220,9842,1168,1329,389
0500000US04019,04019,"Pima County, Arizona",27998,2477,9089,2237,4139,1277,1614,619,2492,1037,33,58,4950,1333,1606,719,3150,905,194,335,18909,2522,9419,1578,2733,703,5872,1305,814,393,9490,1526,2619,974,6244,1027,627,450
0500000US04021,04021,"Pinal County, Arizona",15702,2013,5197,2173,2046,1121,498,383,1548,892,0,292,3151,1277,1110,651,1894,859,147,153,10505,2649,4739,1546,1306,673,3129,1044,304,285,5766,1339,1937,791,3394,805,435,290
