GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Same house 1 year ago,Margin of Error; Total: - Same house 1 year ago,Estimate; Total: - Moved within same county,Margin of Error; Total: - Moved within same county,Estimate; Total: - Moved from different county within same state,Margin of Error; Total: - Moved from different county within same state,Estimate; Total: - Moved from different state,Margin of Error; Total: - Moved from different state,Estimate; Total: - Moved from abroad,Margin of Error; Total: - Moved from abroad
0500000US01073,01073,"Jefferson County, Alabama",7504,1778,4870,1158,1939,1175,413,368,282,312,0,192
0500000US01097,01097,"Mobile County, Alabama",7489,2283,6078,2183,797,365,426,515,188,123,0,192
0500000US02020,02020,"Anchorage Municipality, Alaska",27762,3773,21340,3538,5129,2178,470,284,675,680,148,182
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",9375,1686,6895,1679,1134,635,417,418,770,528,159,278
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",8853,1248,7226,1196,1282,625,183,115,145,150,17,29
0500000US04003,04003,"Cochise County, Arizona",5164,1570,3776,1374,1000,637,131,200,148,143,109,187
0500000US04005,04005,"Coconino County, Arizona",4211,1081,3296,1060,215,180,570,437,130,181,0,201
0500000US04013,04013,"Maricopa County, Arizona",129276,8128,98697,7184,23838,4269,1659,765,4645,1725,437,326
0500000US04015,04015,"Mohave County, Arizona",4111,1158,3182,897,450,380,5,9,474,395,0,201
0500000US04019,04019,"Pima County, Arizona",37409,3683,29277,3560,5994,1813,549,358,1276,705,313,377
0500000US04021,04021,"Pinal County, Arizona",16158,3444,12889,3394,1023,801,981,786,1265,877,0,201
0500000US04025,04025,"Yavapai County, Arizona",6814,1108,5604,1094,368,350,702,630,140,185,0,201
0500000US05007,05007,"Benton County, Arkansas",7443,1497,6349,1355,625,494,171,278,298,236,0,190
0500000US05119,05119,"Pulaski County, Arkansas",6394,1771,4235,1501,1411,704,0,190,748,515,0,190
0500000US05143,05143,"Washington County, Arkansas",7880,1551,5737,1861,625,494,430,411,1088,1009,0,190
0500000US06001,06001,"Alameda County, California",95910,5814,82072,5411,8019,2039,3931,1056,1408,666,480,254
0500000US06007,06007,"Butte County, California",12699,1912,9001,1836,3035,1079,652,414,11,19,0,201
0500000US06013,06013,"Contra Costa County, California",65989,6467,56071,6028,5346,1197,3640,1447,507,316,425,408
0500000US06019,06019,"Fresno County, California",32942,4379,27502,4123,4076,1213,880,377,344,276,140,195
0500000US06023,06023,"Humboldt County, California",7160,1628,5518,1587,1224,835,331,179,87,99,0,201
0500000US06029,06029,"Kern County, California",26519,4017,20568,3421,3474,1361,2055,1297,252,247,170,218
0500000US06037,06037,"Los Angeles County, California",355848,13613,303142,12053,37309,4044,5911,1239,5650,1461,3836,1383
0500000US06039,06039,"Madera County, California",5744,1568,4806,1565,632,616,245,172,61,96,0,201
0500000US06041,06041,"Marin County, California",11783,2330,9303,1836,1647,1326,768,362,65,113,0,201
0500000US06047,06047,"Merced County, California",12603,2823,11069,2737,843,625,687,545,4,8,0,201
0500000US06053,06053,"Monterey County, California",19745,2731,16570,2808,1497,721,1038,481,548,481,92,168
0500000US06059,06059,"Orange County, California",109937,7125,92685,6224,10296,1893,4250,1545,1731,964,975,801
0500000US06061,06061,"Placer County, California",18788,2547,16576,2458,1055,511,801,374,312,213,44,69
0500000US06065,06065,"Riverside County, California",98321,8008,82043,7493,9936,2586,4882,1899,1208,587,252,245
0500000US06067,06067,"Sacramento County, California",98483,7352,81130,6512,11950,2607,2758,726,1491,711,1154,1450
0500000US06071,06071,"San Bernardino County, California",92412,7434,75672,7162,8756,1987,5127,1626,1936,1110,921,630
0500000US06073,06073,"San Diego County, California",151559,8546,125395,8267,19525,3472,2299,851,2987,1037,1353,874
0500000US06075,06075,"San Francisco County, California",37512,4039,30885,3893,2381,786,2561,1082,1277,698,408,285
0500000US06077,06077,"San Joaquin County, California",73327,8510,60308,7423,9569,2902,2378,1571,1027,702,45,72
0500000US06079,06079,"San Luis Obispo County, California",8978,2089,6737,2000,1129,762,936,455,176,198,0,201
0500000US06081,06081,"San Mateo County, California",36490,3270,30422,2920,2761,1129,2324,1056,539,330,444,383
0500000US06083,06083,"Santa Barbara County, California",16590,2699,13306,2402,1903,891,593,350,580,482,208,173
0500000US06085,06085,"Santa Clara County, California",88123,7753,75598,7033,6510,1474,3012,1027,1885,1369,1118,565
0500000US06087,06087,"Santa Cruz County, California",12103,1923,9745,1788,852,503,1038,551,375,252,93,107
0500000US06095,06095,"Solano County, California",29890,3674,23343,3337,4169,1847,1469,780,829,506,80,88
0500000US06097,06097,"Sonoma County, California",31557,4145,27123,3927,2393,1371,1490,1035,446,453,105,131
0500000US06099,06099,"Stanislaus County, California",21449,3591,18934,3186,2006,1139,509,335,0,201,0,201
0500000US06101,06101,"Sutter County, California",6800,1757,5336,1626,827,696,335,288,62,85,240,350
0500000US06111,06111,"Ventura County, California",33135,4499,28285,4354,3799,1845,654,490,270,238,127,207
0500000US06113,06113,"Yolo County, California",11101,2042,8746,1847,1238,740,610,283,0,201,507,452
0500000US08001,08001,"Adams County, Colorado",15644,3025,13307,2752,853,689,826,573,658,452,0,193
0500000US08005,08005,"Arapahoe County, Colorado",32440,4872,25309,3773,3562,1581,1888,925,1647,1386,34,65
0500000US08013,08013,"Boulder County, Colorado",10235,1528,7985,1460,1464,603,303,242,462,445,21,32
0500000US08031,08031,"Denver County, Colorado",23442,3098,17746,2590,2115,787,1603,844,806,465,1172,1659
0500000US08035,08035,"Douglas County, Colorado",9496,1537,8019,1398,521,497,411,367,498,546,47,78
0500000US08041,08041,"El Paso County, Colorado",34516,4431,24585,3410,5727,2402,717,387,2865,1469,622,473
0500000US08059,08059,"Jefferson County, Colorado",17555,2287,14355,2305,829,407,1604,748,767,481,0,193
0500000US08069,08069,"Larimer County, Colorado",10084,1847,7549,1659,1220,831,958,606,357,337,0,193
0500000US08101,08101,"Pueblo County, Colorado",6842,1744,5715,1631,670,487,88,99,369,330,0,193
0500000US08123,08123,"Weld County, Colorado",7909,1604,6745,1513,558,484,268,219,292,269,46,72
0500000US09001,09001,"Fairfield County, Connecticut",31211,4143,24777,3280,3852,1874,1024,1065,1028,512,530,502
0500000US09003,09003,"Hartford County, Connecticut",27975,4105,23120,3633,3492,1479,758,474,406,334,199,238
0500000US09009,09009,"New Haven County, Connecticut",22298,3489,18447,3199,2268,922,273,249,725,520,585,854
0500000US09011,09011,"New London County, Connecticut",16557,3150,12665,2908,2221,1024,597,476,1074,634,0,198
0500000US10003,10003,"New Castle County, Delaware",15524,3317,13934,3184,815,447,20,35,495,290,260,282
0500000US11001,11001,"District of Columbia, District of Columbia",20538,2509,15509,2344,2602,869,0,200,2037,796,390,273
0500000US12001,12001,"Alachua County, Florida",7046,1374,4774,1242,1499,913,515,371,85,118,173,237
0500000US12005,12005,"Bay County, Florida",6562,1456,4333,1520,642,574,345,501,1242,1176,0,217
0500000US12009,12009,"Brevard County, Florida",15978,3579,11706,2742,2780,1508,1235,1185,180,201,77,128
0500000US12011,12011,"Broward County, Florida",55359,6283,42477,5054,7533,2108,1935,1667,1634,918,1780,1234
0500000US12021,12021,"Collier County, Florida",4854,1546,3089,1211,1059,866,613,517,93,157,0,217
0500000US12031,12031,"Duval County, Florida",30084,3990,22912,3556,5119,1918,541,438,1193,905,319,293
0500000US12033,12033,"Escambia County, Florida",19229,3310,11093,2775,6215,2381,663,445,1167,777,91,180
0500000US12057,12057,"Hillsborough County, Florida",43803,4725,34416,4724,5109,1310,1696,926,1963,927,619,432
0500000US12071,12071,"Lee County, Florida",13779,3137,11292,3212,1512,968,142,157,775,658,58,99
