GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Male:
HD02_VD02,Margin of Error; Male:
HD01_VD03,Estimate; Male: - 16 to 19 years:
HD02_VD03,Margin of Error; Male: - 16 to 19 years:
HD01_VD04,Estimate; Male: - 16 to 19 years: - In labor force:
HD02_VD04,Margin of Error; Male: - 16 to 19 years: - In labor force:
HD01_VD05,Estimate; Male: - 16 to 19 years: - In labor force: - In Armed Forces
HD02_VD05,Margin of Error; Male: - 16 to 19 years: - In labor force: - In Armed Forces
HD01_VD06,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian:
HD02_VD06,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian:
HD01_VD07,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed
HD02_VD07,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Employed
HD01_VD08,Estimate; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed
HD02_VD08,Margin of Error; Male: - 16 to 19 years: - In labor force: - Civilian: - Unemployed
HD01_VD09,Estimate; Male: - 16 to 19 years: - Not in labor force
HD02_VD09,Margin of Error; Male: - 16 to 19 years: - Not in labor force
HD01_VD10,Estimate; Male: - 20 to 24 years:
HD02_VD10,Margin of Error; Male: - 20 to 24 years:
HD01_VD11,Estimate; Male: - 20 to 24 years: - In labor force:
HD02_VD11,Margin of Error; Male: - 20 to 24 years: - In labor force:
HD01_VD12,Estimate; Male: - 20 to 24 years: - In labor force: - In Armed Forces
HD02_VD12,Margin of Error; Male: - 20 to 24 years: - In labor force: - In Armed Forces
HD01_VD13,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian:
HD02_VD13,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian:
HD01_VD14,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed
HD02_VD14,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Employed
HD01_VD15,Estimate; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed
HD02_VD15,Margin of Error; Male: - 20 to 24 years: - In labor force: - Civilian: - Unemployed
HD01_VD16,Estimate; Male: - 20 to 24 years: - Not in labor force
HD02_VD16,Margin of Error; Male: - 20 to 24 years: - Not in labor force
HD01_VD17,Estimate; Male: - 25 to 54 years:
HD02_VD17,Margin of Error; Male: - 25 to 54 years:
HD01_VD18,Estimate; Male: - 25 to 54 years: - In labor force:
HD02_VD18,Margin of Error; Male: - 25 to 54 years: - In labor force:
HD01_VD19,Estimate; Male: - 25 to 54 years: - In labor force: - In Armed Forces
HD02_VD19,Margin of Error; Male: - 25 to 54 years: - In labor force: - In Armed Forces
HD01_VD20,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian:
HD02_VD20,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian:
HD01_VD21,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed
HD02_VD21,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Employed
HD01_VD22,Estimate; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed
HD02_VD22,Margin of Error; Male: - 25 to 54 years: - In labor force: - Civilian: - Unemployed
HD01_VD23,Estimate; Male: - 25 to 54 years: - Not in labor force
HD02_VD23,Margin of Error; Male: - 25 to 54 years: - Not in labor force
HD01_VD24,Estimate; Male: - 55 to 64 years:
HD02_VD24,Margin of Error; Male: - 55 to 64 years:
HD01_VD25,Estimate; Male: - 55 to 64 years: - In labor force:
HD02_VD25,Margin of Error; Male: - 55 to 64 years: - In labor force:
HD01_VD26,Estimate; Male: - 55 to 64 years: - In labor force: - In Armed Forces
HD02_VD26,Margin of Error; Male: - 55 to 64 years: - In labor force: - In Armed Forces
HD01_VD27,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian:
HD02_VD27,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian:
HD01_VD28,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed
HD02_VD28,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Employed
HD01_VD29,Estimate; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed
HD02_VD29,Margin of Error; Male: - 55 to 64 years: - In labor force: - Civilian: - Unemployed
HD01_VD30,Estimate; Male: - 55 to 64 years: - Not in labor force
HD02_VD30,Margin of Error; Male: - 55 to 64 years: - Not in labor force
HD01_VD31,Estimate; Male: - 65 to 69 years:
