GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - High school graduate (includes equivalency),Margin of Error; Male: - High school graduate (includes equivalency),"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate degree,Margin of Error; Male: - Graduate degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - High school graduate (includes equivalency),Margin of Error; Female: - High school graduate (includes equivalency),"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate degree,Margin of Error; Female: - Graduate degree
0500000US01089,01089,"Madison County, Alabama",2843,669,1594,518,15,25,43,53,288,257,652,428,40,67,370,238,186,176,1249,393,23,38,146,177,203,151,492,310,241,215,100,105,44,72
0500000US02020,02020,"Anchorage Municipality, Alaska",6997,1436,3084,863,41,69,156,119,1199,590,708,368,464,393,378,376,138,173,3913,924,233,266,522,433,1087,549,1378,570,113,141,240,234,340,328
0500000US04013,04013,"Maricopa County, Arizona",26815,2817,12249,1970,496,362,1296,609,2661,926,3911,976,1572,709,1639,596,674,291,14566,1767,935,480,1388,615,3221,851,3779,1015,1134,515,2752,808,1357,450
0500000US04019,04019,"Pima County, Arizona",11305,2054,5772,1191,209,182,348,228,1883,776,1786,809,355,276,711,387,480,319,5533,1277,203,246,575,356,514,367,1773,767,831,592,725,419,912,607
0500000US06001,06001,"Alameda County, California",22660,2532,11270,1658,477,323,964,441,2416,970,2884,748,710,412,2511,823,1308,608,11390,1678,478,416,615,359,2573,951,2431,758,861,535,2604,677,1828,632
0500000US06007,06007,"Butte County, California",4444,859,2092,624,218,191,412,303,208,173,846,520,0,292,303,254,105,131,2352,594,256,245,232,178,453,274,777,455,52,74,407,276,175,283
0500000US06013,06013,"Contra Costa County, California",14896,1945,7087,1242,65,107,477,337,1719,686,2979,1092,308,255,1105,739,434,234,7809,1280,281,237,529,373,1733,616,1990,979,787,381,1724,602,765,343
0500000US06019,06019,"Fresno County, California",11722,1696,6574,1390,413,205,586,290,1922,882,1816,592,440,305,729,402,668,549,5148,1037,790,351,409,216,863,422,1530,633,754,501,530,285,272,201
0500000US06029,06029,"Kern County, California",11064,1663,4734,891,572,370,517,370,1193,427,1375,524,319,209,465,333,293,216,6330,1409,671,329,1142,583,1230,600,2350,872,101,105,519,283,317,230
0500000US06037,06037,"Los Angeles County, California",113743,6953,55717,4397,3968,1080,7454,1464,10964,1801,12124,1828,5143,1089,11393,1889,4671,1026,58026,3907,5604,1304,6272,1164,11795,1802,13774,2048,4847,1324,11599,1485,4135,924
0500000US06053,06053,"Monterey County, California",6229,1112,3348,940,423,322,230,146,1084,724,898,458,196,148,413,266,104,107,2881,625,187,168,186,177,523,314,871,429,672,333,164,190,278,228
0500000US06059,06059,"Orange County, California",27262,3104,13462,2040,553,266,738,398,2788,785,3637,966,1529,658,2977,831,1240,456,13800,1795,1002,404,638,334,2303,675,4000,985,1337,537,2977,756,1543,606
0500000US06061,06061,"Placer County, California",4132,932,2412,792,274,292,241,223,531,425,536,284,429,346,252,204,149,151,1720,527,0,292,147,145,276,222,381,237,586,347,225,188,105,125
0500000US06065,06065,"Riverside County, California",28560,3463,13284,2064,456,330,2321,849,3467,1121,4020,973,1175,552,1395,526,450,234,15276,2230,317,223,1237,512,3670,1163,4200,1034,2595,983,2226,760,1031,500
0500000US06067,06067,"Sacramento County, California",25325,3012,12115,1853,436,268,1656,735,2796,991,2634,820,1754,792,2024,723,815,507,13210,2116,201,152,717,442,2912,862,4558,1132,1804,651,2222,937,796,348
0500000US06071,06071,"San Bernardino County, California",35944,3403,16414,1969,1113,619,1863,796,5513,1499,4528,1272,1273,514,1027,572,1097,568,19530,2362,691,488,1376,664,5577,1385,5886,1303,2477,877,2305,863,1218,559
0500000US06073,06073,"San Diego County, California",42659,4206,20342,2617,1150,477,1701,607,3823,1031,5652,1349,2347,795,3916,1000,1753,646,22317,2682,1676,940,2556,794,3531,854,5184,1063,1901,677,4952,1403,2517,841
0500000US06075,06075,"San Francisco County, California",13154,2237,6618,1445,322,322,357,236,1468,890,1054,554,264,300,2089,567,1064,528,6536,1450,165,204,105,129,524,454,1134,466,663,454,2874,941,1071,476
0500000US06077,06077,"San Joaquin County, California",12855,2071,6840,1560,411,479,1068,651,2684,977,1625,596,238,309,354,247,460,413,6015,1370,931,781,1143,534,1563,781,1132,553,445,276,519,336,282,279
0500000US06081,06081,"San Mateo County, California",10828,1775,5075,1131,335,293,387,343,611,390,1186,552,711,456,1402,654,443,271,5753,1131,142,147,290,267,1156,664,1518,532,539,316,1468,575,640,317
0500000US06083,06083,"Santa Barbara County, California",4885,1158,1923,714,140,171,308,244,46,87,585,361,78,138,435,314,331,307,2962,962,50,87,200,245,550,428,737,415,492,401,295,247,638,416
0500000US06085,06085,"Santa Clara County, California",20488,2601,10750,1939,92,108,934,586,1593,687,1989,750,1174,590,3337,1205,1631,771,9738,1464,598,450,428,376,810,512,3153,850,1121,519,2624,874,1004,488
0500000US06087,06087,"Santa Cruz County, California",4789,1129,2117,743,100,133,348,317,400,261,572,368,227,299,339,223,131,155,2672,931,123,126,157,209,538,434,431,298,267,292,704,495,452,580
0500000US06095,06095,"Solano County, California",7793,1514,4742,1144,68,119,458,296,1792,907,1327,458,813,616,226,247,58,97,3051,741,42,71,467,404,417,259,1036,413,506,322,256,177,327,295
0500000US06097,06097,"Sonoma County, California",7622,1371,4368,1063,320,283,483,320,1020,581,1805,630,165,158,318,245,257,305,3254,732,162,231,695,521,414,326,755,389,0,292,765,363,463,346
