GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - 1, detached","Margin of Error; Total: - 1, detached","Estimate; Total: - 1, attached","Margin of Error; Total: - 1, attached",Estimate; Total: - 2,Margin of Error; Total: - 2,Estimate; Total: - 3 or 4,Margin of Error; Total: - 3 or 4,Estimate; Total: - 5 to 9,Margin of Error; Total: - 5 to 9,Estimate; Total: - 10 to 19,Margin of Error; Total: - 10 to 19,Estimate; Total: - 20 to 49,Margin of Error; Total: - 20 to 49,Estimate; Total: - 50 or more,Margin of Error; Total: - 50 or more,Estimate; Total: - Mobile home,Margin of Error; Total: - Mobile home,"Estimate; Total: - Boat, RV, van, etc.","Margin of Error; Total: - Boat, RV, van, etc."
0500000US02020,02020,"Anchorage Municipality, Alaska",6323,1439,2356,768,812,557,477,394,1313,873,488,353,516,427,185,216,0,147,176,204,0,147
0500000US04013,04013,"Maricopa County, Arizona",25246,2390,16952,2023,911,377,56,98,972,597,782,389,2215,858,431,353,1702,477,1173,495,52,86
0500000US04019,04019,"Pima County, Arizona",9347,1389,5191,1136,736,463,152,195,511,341,749,454,428,291,396,302,668,365,516,312,0,203
0500000US06001,06001,"Alameda County, California",21893,2167,9394,1390,1737,552,885,455,2282,821,1239,524,815,394,2506,986,2653,857,359,258,23,40
0500000US06007,06007,"Butte County, California",3196,730,1446,539,81,104,32,53,93,106,167,141,194,161,455,330,0,203,693,291,35,61
0500000US06013,06013,"Contra Costa County, California",14060,2003,7762,1255,576,308,553,507,906,479,1157,616,872,610,874,480,978,563,382,280,0,203
0500000US06019,06019,"Fresno County, California",7112,1045,3992,748,86,100,143,140,585,381,1287,608,49,82,196,203,477,305,297,177,0,203
0500000US06037,06037,"Los Angeles County, California",93845,4553,40118,2323,4595,821,1677,548,7226,1314,8172,1461,8774,1600,10888,1907,10711,1774,1637,597,47,77
0500000US06059,06059,"Orange County, California",25662,2411,11994,1545,3357,791,271,358,2283,831,1942,876,1391,601,864,409,3087,956,392,197,81,96
0500000US06065,06065,"Riverside County, California",18322,2045,13716,1864,780,423,110,147,530,484,725,366,397,453,462,402,722,290,880,410,0,203
0500000US06067,06067,"Sacramento County, California",20986,2457,11271,1556,1500,562,444,305,1424,556,1466,606,1551,750,648,414,2254,895,331,306,97,157
0500000US06071,06071,"San Bernardino County, California",16193,1913,11115,1523,1071,524,239,241,687,435,608,399,861,577,386,325,458,267,768,434,0,203
0500000US06073,06073,"San Diego County, California",30785,2636,13226,1699,3001,901,476,357,2288,733,2994,806,3429,1111,2220,671,2443,684,622,298,86,102
0500000US06075,06075,"San Francisco County, California",11869,1504,1868,684,1426,447,946,435,2482,951,1878,738,1114,659,564,325,1452,726,0,203,139,227
0500000US06077,06077,"San Joaquin County, California",12303,1827,7735,1437,630,360,796,570,521,325,1150,578,887,575,85,104,350,237,149,162,0,203
0500000US06081,06081,"San Mateo County, California",7822,1220,3177,817,1197,728,571,491,246,181,305,225,433,257,1243,653,605,347,0,203,45,76
0500000US06085,06085,"Santa Clara County, California",19212,1947,9219,1309,2160,657,617,425,1154,449,1269,658,1041,562,1167,579,2364,876,221,193,0,203
0500000US06111,06111,"Ventura County, California",6969,1483,4243,1093,742,424,71,120,501,382,187,139,335,259,394,270,338,278,158,168,0,203
0500000US08005,08005,"Arapahoe County, Colorado",7446,1346,3270,919,502,404,0,195,397,352,903,562,978,555,952,592,343,286,101,119,0,195
0500000US08031,08031,"Denver County, Colorado",7543,1458,3276,978,350,273,93,133,76,138,565,482,744,523,915,497,1350,629,174,297,0,195
0500000US08041,08041,"El Paso County, Colorado",8698,1423,4876,1162,607,419,27,44,222,216,1174,702,378,339,665,539,475,344,274,228,0,195
0500000US09001,09001,"Fairfield County, Connecticut",4032,972,1646,564,802,549,296,195,116,138,122,126,210,202,98,122,742,455,0,201,0,201
0500000US09003,09003,"Hartford County, Connecticut",7360,1348,2434,594,276,188,718,417,698,446,708,526,790,489,820,464,916,464,0,201,0,201
0500000US09009,09009,"New Haven County, Connecticut",3534,794,1452,512,263,232,481,332,479,297,192,183,92,122,232,192,343,184,0,201,0,201
0500000US11001,11001,"District of Columbia, District of Columbia",7451,1542,979,494,1119,400,210,258,308,190,178,190,769,514,623,386,3265,906,0,203,0,203
0500000US12011,12011,"Broward County, Florida",12307,1833,5674,1215,831,417,286,223,1115,618,619,272,986,522,916,438,1423,630,457,355,0,218
0500000US12031,12031,"Duval County, Florida",5504,1136,3064,898,402,342,96,166,359,320,126,138,407,327,499,394,272,224,279,355,0,218
0500000US12057,12057,"Hillsborough County, Florida",9420,1768,4957,1245,475,254,230,250,605,361,647,401,1091,524,349,287,343,228,723,384,0,218
0500000US12086,12086,"Miami-Dade County, Florida",10245,1542,4193,944,1333,496,136,130,468,343,707,422,711,341,1265,545,1358,576,0,218,74,121
0500000US12095,12095,"Orange County, Florida",10378,1742,6031,1524,537,355,131,163,423,303,859,479,1085,658,693,653,297,200,322,280,0,218
0500000US12099,12099,"Palm Beach County, Florida",7448,1210,3677,944,670,436,398,312,518,429,397,299,151,177,667,396,393,285,577,439,0,218
0500000US12103,12103,"Pinellas County, Florida",5820,1124,2483,686,384,282,132,166,193,208,811,594,279,282,515,331,621,312,402,237,0,218
0500000US13121,13121,"Fulton County, Georgia",6598,1560,2018,706,669,379,147,174,89,102,129,152,1203,670,1480,1049,863,599,0,214,0,214
0500000US15003,15003,"Honolulu County, Hawaii",45131,2389,23067,1960,4852,1004,605,416,1905,637,3622,878,3425,999,2611,850,4966,1076,78,102,0,185
