GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD03,Estimate; Total: - Speak only English
HD02_VD03,Margin of Error; Total: - Speak only English
HD01_VD04,Estimate; Total: - Speak language other than English:
HD02_VD04,Margin of Error; Total: - Speak language other than English:
HD01_VD05,"Estimate; Total: - Speak language other than English: - Speak English ""very well"""
HD02_VD05,"Margin of Error; Total: - Speak language other than English: - Speak English ""very well"""
HD01_VD06,"Estimate; Total: - Speak language other than English: - Speak English less than ""very well"""
HD02_VD06,"Margin of Error; Total: - Speak language other than English: - Speak English less than ""very well"""
HD01_VD07,Estimate; Total: - Born in state of residence:
HD02_VD07,Margin of Error; Total: - Born in state of residence:
HD01_VD08,Estimate; Total: - Born in state of residence: - Speak only English
HD02_VD08,Margin of Error; Total: - Born in state of residence: - Speak only English
HD01_VD09,Estimate; Total: - Born in state of residence: - Speak language other than English:
HD02_VD09,Margin of Error; Total: - Born in state of residence: - Speak language other than English:
HD01_VD10,"Estimate; Total: - Born in state of residence: - Speak language other than English: - Speak English ""very well"""
HD02_VD10,"Margin of Error; Total: - Born in state of residence: - Speak language other than English: - Speak English ""very well"""
HD01_VD11,"Estimate; Total: - Born in state of residence: - Speak language other than English: - Speak English less than ""very well"""
HD02_VD11,"Margin of Error; Total: - Born in state of residence: - Speak language other than English: - Speak English less than ""very well"""
HD01_VD12,Estimate; Total: - Born in other state in the United States:
HD02_VD12,Margin of Error; Total: - Born in other state in the United States:
HD01_VD13,Estimate; Total: - Born in other state in the United States: - Speak only English
HD02_VD13,Margin of Error; Total: - Born in other state in the United States: - Speak only English
HD01_VD14,Estimate; Total: - Born in other state in the United States: - Speak language other than English:
HD02_VD14,Margin of Error; Total: - Born in other state in the United States: - Speak language other than English:
HD01_VD15,"Estimate; Total: - Born in other state in the United States: - Speak language other than English: - Speak English ""very well"""
HD02_VD15,"Margin of Error; Total: - Born in other state in the United States: - Speak language other than English: - Speak English ""very well"""
HD01_VD16,"Estimate; Total: - Born in other state in the United States: - Speak language other than English: - Speak English less than ""very well"""
HD02_VD16,"Margin of Error; Total: - Born in other state in the United States: - Speak language other than English: - Speak English less than ""very well"""
HD01_VD17,Estimate; Total: - Native; born outside the United States:
HD02_VD17,Margin of Error; Total: - Native; born outside the United States:
HD01_VD18,Estimate; Total: - Native; born outside the United States: - Speak only English
HD02_VD18,Margin of Error; Total: - Native; born outside the United States: - Speak only English
HD01_VD19,Estimate; Total: - Native; born outside the United States: - Speak language other than English:
HD02_VD19,Margin of Error; Total: - Native; born outside the United States: - Speak language other than English:
HD01_VD20,"Estimate; Total: - Native; born outside the United States: - Speak language other than English: - Speak English ""very well"""
HD02_VD20,"Margin of Error; Total: - Native; born outside the United States: - Speak language other than English: - Speak English ""very well"""
HD01_VD21,"Estimate; Total: - Native; born outside the United States: - Speak language other than English: - Speak English less than ""very well"""
HD02_VD21,"Margin of Error; Total: - Native; born outside the United States: - Speak language other than English: - Speak English less than ""very well"""
HD01_VD22,Estimate; Total: - Foreign born:
HD02_VD22,Margin of Error; Total: - Foreign born:
HD01_VD23,Estimate; Total: - Foreign born: - Speak only English
HD02_VD23,Margin of Error; Total: - Foreign born: - Speak only English
HD01_VD24,Estimate; Total: - Foreign born: - Speak language other than English:
HD02_VD24,Margin of Error; Total: - Foreign born: - Speak language other than English:
HD01_VD25,"Estimate; Total: - Foreign born: - Speak language other than English: - Speak English ""very well"""
HD02_VD25,"Margin of Error; Total: - Foreign born: - Speak language other than English: - Speak English ""very well"""
HD01_VD26,"Estimate; Total: - Foreign born: - Speak language other than English: - Speak English less than ""very well"""
HD02_VD26,"Margin of Error; Total: - Foreign born: - Speak language other than English: - Speak English less than ""very well"""
