GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
0500000US04013,04013,"Maricopa County, Arizona",89326,4388,5274,833,705,329,439,341,622,398,549,333,160,163,380,318,454,292,275,236,560,409,732,372,149,137,136,120,76,86,0,292,0,292,37,60,54764,3313,3147,1173,1941,767,3891,1154,3505,1062,5512,1375,5778,1476,4084,1172,3872,1144,3141,945,4905,1161,4078,996,5876,1189,2814,802,961,522,453,255,806,554,25052,2412,888,438,2111,837,821,390,2432,942,1492,712,1653,740,1407,566,1210,630,1701,917,1608,650,3700,1029,3698,1001,1297,429,648,324,246,182,140,105,4236,931,323,262,609,383,382,230,356,293,335,215,380,316,257,214,165,195,128,148,421,359,564,380,205,175,46,78,0,292,0,292,65,107
0500000US04019,04019,"Pima County, Arizona",51223,2684,3248,917,289,334,516,382,306,322,369,323,236,269,381,332,363,367,307,359,185,250,262,310,34,56,0,292,0,292,0,292,0,292,0,292,26541,2029,3013,1009,2298,953,2009,943,3682,1142,1986,785,2259,879,1517,729,530,351,787,470,1635,696,2945,997,2377,825,397,364,297,277,585,512,224,231,16432,1812,1451,631,1665,726,1069,632,965,586,929,549,822,527,924,532,1010,589,698,335,2022,864,2759,880,888,380,557,301,355,346,199,251,119,140,5002,1050,858,597,468,319,279,266,303,266,401,331,150,146,44,76,277,376,638,419,378,336,437,372,403,346,51,83,47,79,59,93,209,340
0500000US06019,06019,"Fresno County, California",45634,2675,3697,1094,692,459,585,376,584,405,205,253,121,129,177,235,169,201,309,343,142,177,334,386,0,292,201,248,0,292,56,89,0,292,122,206,23673,2179,1850,688,1978,718,1621,787,836,461,1406,700,1547,732,1377,684,1772,785,1310,672,2347,852,2596,828,2281,756,1155,541,799,547,614,523,184,229,13764,1749,823,437,985,446,1319,635,1246,511,1106,623,1363,605,658,299,923,500,599,395,1386,667,1231,558,860,393,834,469,252,205,90,104,89,102,4500,927,639,446,753,491,730,504,224,185,417,375,104,127,220,246,306,254,179,217,297,225,105,122,158,148,268,303,38,65,0,292,62,103
0500000US06029,06029,"Kern County, California",49326,3106,4574,989,333,422,786,545,493,349,374,316,611,490,233,233,0,292,481,409,379,294,299,297,128,213,253,257,47,79,0,292,157,184,0,292,27793,2297,1683,604,1286,631,1981,774,1273,602,2035,833,1586,733,2453,1025,1635,658,2680,1148,2501,839,3843,972,2922,997,1091,586,394,354,240,326,190,249,13394,1439,1403,601,443,307,217,210,1069,565,1465,636,945,453,984,435,806,426,929,554,960,524,1489,602,1457,689,729,449,228,188,210,202,60,102,3565,816,149,145,592,404,352,304,352,247,436,358,269,181,0,292,338,300,208,269,83,143,248,212,324,287,145,235,69,116,0,292,0,292
0500000US06037,06037,"Los Angeles County, California",595619,9323,27990,2283,1977,642,2642,925,2293,720,2492,837,3021,796,2271,843,2806,884,1468,703,1024,495,2095,701,2175,632,2355,836,848,497,274,257,249,296,0,292,330519,7135,15223,2141,17252,2061,24507,2681,24294,2521,21409,3050,23548,3013,23325,2618,18546,2689,18501,2563,31579,3482,38233,3678,34103,2640,20978,2686,8340,1827,6954,1429,3727,1079,194524,5702,8462,1826,8725,1652,9409,1612,11239,1934,13114,2074,11169,1847,14268,2069,11680,1919,9788,1788,17944,2431,22880,2187,22360,2406,13804,1852,8157,1519,7473,1487,4052,1239,42586,2978,5543,1191,6839,1461,4480,1175,4575,1086,1386,473,1618,581,2552,742,1622,581,1609,701,2224,699,3819,999,2881,913,1502,686,892,472,623,303,421,305
0500000US06059,06059,"Orange County, California",111601,4768,5262,987,211,241,189,219,98,166,342,279,401,299,263,250,700,488,691,386,406,308,272,229,841,497,223,193,376,319,131,180,0,292,118,193,67224,3940,2011,914,1563,566,1864,707,4291,1399,4230,1073,4464,1299,4794,1292,4002,1049,4179,1107,6287,1285,9963,1756,7489,1465,5981,1382,2491,793,2485,814,1130,580,32528,2718,905,535,686,470,871,734,1488,654,1205,681,1495,726,2452,1011,1956,758,1847,838,2893,807,3566,903,4859,1079,3609,905,2004,875,1501,689,1191,708,6587,1166,842,520,413,249,398,304,469,481,317,263,510,526,251,246,763,538,533,297,623,457,376,264,490,328,50,82,372,396,138,159,42,68
0500000US06065,06065,"Riverside County, California",99097,4837,5131,1352,568,418,190,229,173,284,497,390,494,464,310,285,257,282,236,285,278,254,699,487,518,456,557,400,311,383,43,70,0,292,0,292,58134,3787,1821,796,1694,727,1878,917,3387,1082,2904,886,4488,1388,2392,863,2296,881,3813,1249,7777,1905,8011,1582,9129,1866,4618,1232,2133,865,1145,467,648,498,29279,2215,647,439,726,561,1814,654,1011,464,1987,814,2074,825,1332,568,1614,634,1770,730,2558,637,4528,1205,3196,837,2702,870,1320,549,1086,601,914,501,6553,1156,1593,642,571,418,809,323,794,458,463,363,95,114,147,139,44,74,444,296,670,406,169,165,451,441,232,272,50,83,12,19,9,14
0500000US06067,06067,"Sacramento County, California",34250,2759,2027,858,205,286,106,127,191,312,374,310,191,238,358,325,0,292,245,244,0,292,217,284,0,292,140,173,0,292,0,292,0,292,0,292,18979,1925,1117,576,631,401,447,353,1246,564,723,512,1559,659,1188,628,1408,812,1995,846,1596,674,2443,851,2789,875,741,442,296,227,343,232,457,373,10019,1700,463,390,271,206,442,375,232,207,502,327,397,449,571,372,674,322,849,520,1421,659,792,459,1582,807,1134,560,453,285,51,83,185,156,3225,788,510,371,568,294,217,192,287,227,47,76,440,360,168,276,152,148,64,107,274,243,60,97,49,79,62,103,171,202,156,251,0,292
0500000US06071,06071,"San Bernardino County, California",110787,4765,6465,1470,598,449,399,340,702,456,839,522,473,394,269,245,545,426,355,330,715,500,266,321,456,361,489,438,285,324,0,292,74,88,0,292,63289,4155,2479,890,1775,791,2870,1134,2306,946,3875,1355,4926,1517,3743,1172,4454,1465,5555,2013,6546,1423,9353,1735,7271,1379,3336,1222,2599,1111,1667,691,534,401,33213,2478,1182,517,1732,661,1316,543,909,504,2033,665,1115,484,1416,617,1688,751,1323,525,3665,1081,4323,891,5958,1265,3509,1247,1865,814,835,407,344,355,7820,1224,1040,607,728,472,800,481,424,408,406,366,566,434,558,445,671,480,414,422,231,305,617,396,463,294,457,280,47,78,187,232,211,277
