GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Afghan
HD02_VD02,Margin of Error; Afghan
HD01_VD03,Estimate; Albanian
HD02_VD03,Margin of Error; Albanian
HD01_VD04,Estimate; Alsatian
HD02_VD04,Margin of Error; Alsatian
HD01_VD05,Estimate; American
HD02_VD05,Margin of Error; American
HD01_VD06,Estimate; Arab:
HD02_VD06,Margin of Error; Arab:
HD01_VD07,Estimate; Arab: - Egyptian
HD02_VD07,Margin of Error; Arab: - Egyptian
HD01_VD08,Estimate; Arab: - Iraqi
HD02_VD08,Margin of Error; Arab: - Iraqi
HD01_VD09,Estimate; Arab: - Jordanian
HD02_VD09,Margin of Error; Arab: - Jordanian
HD01_VD10,Estimate; Arab: - Lebanese
HD02_VD10,Margin of Error; Arab: - Lebanese
HD01_VD11,Estimate; Arab: - Moroccan
HD02_VD11,Margin of Error; Arab: - Moroccan
HD01_VD12,Estimate; Arab: - Palestinian
HD02_VD12,Margin of Error; Arab: - Palestinian
HD01_VD13,Estimate; Arab: - Syrian
HD02_VD13,Margin of Error; Arab: - Syrian
HD01_VD14,Estimate; Arab: - Arab
HD02_VD14,Margin of Error; Arab: - Arab
HD01_VD15,Estimate; Arab: - Other Arab
HD02_VD15,Margin of Error; Arab: - Other Arab
HD01_VD16,Estimate; Armenian
HD02_VD16,Margin of Error; Armenian
HD01_VD17,Estimate; Assyrian/Chaldean/Syriac
HD02_VD17,Margin of Error; Assyrian/Chaldean/Syriac
HD01_VD18,Estimate; Australian
HD02_VD18,Margin of Error; Australian
HD01_VD19,Estimate; Austrian
HD02_VD19,Margin of Error; Austrian
HD01_VD20,Estimate; Basque
HD02_VD20,Margin of Error; Basque
HD01_VD21,Estimate; Belgian
HD02_VD21,Margin of Error; Belgian
HD01_VD22,Estimate; Brazilian
HD02_VD22,Margin of Error; Brazilian
HD01_VD23,Estimate; British
HD02_VD23,Margin of Error; British
HD01_VD24,Estimate; Bulgarian
HD02_VD24,Margin of Error; Bulgarian
HD01_VD25,Estimate; Cajun
HD02_VD25,Margin of Error; Cajun
HD01_VD26,Estimate; Canadian
HD02_VD26,Margin of Error; Canadian
