GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median nonfamily household income in the past 12 months (in 2008 inflation-adjusted dollars),Margin of Error; Median nonfamily household income in the past 12 months (in 2008 inflation-adjusted dollars)
0500000US01001,01001,"Autauga County, Alabama",61723,15615
0500000US01005,01005,"Barbour County, Alabama",-,**
0500000US01007,01007,"Bibb County, Alabama",-,**
0500000US01009,01009,"Blount County, Alabama",85380,32929
0500000US01013,01013,"Butler County, Alabama",-,**
0500000US01015,01015,"Calhoun County, Alabama",13750,8709
0500000US01017,01017,"Chambers County, Alabama",-,**
0500000US01019,01019,"Cherokee County, Alabama",-,**
0500000US01021,01021,"Chilton County, Alabama",-,**
0500000US01025,01025,"Clarke County, Alabama",-,**
0500000US01039,01039,"Covington County, Alabama",-,**
0500000US01043,01043,"Cullman County, Alabama",28650,967
0500000US01047,01047,"Dallas County, Alabama",-,**
0500000US01049,01049,"DeKalb County, Alabama",63500,14455
0500000US01051,01051,"Elmore County, Alabama",-,**
0500000US01053,01053,"Escambia County, Alabama",32939,2030
0500000US01055,01055,"Etowah County, Alabama",9118,4408
0500000US01061,01061,"Geneva County, Alabama",28500,19138
0500000US01073,01073,"Jefferson County, Alabama",40306,15198
0500000US01079,01079,"Lawrence County, Alabama",52339,2110
0500000US01083,01083,"Limestone County, Alabama",10691,1322
0500000US01087,01087,"Macon County, Alabama",-,**
0500000US01089,01089,"Madison County, Alabama",22571,4558
0500000US01091,01091,"Marengo County, Alabama",-,**
0500000US01093,01093,"Marion County, Alabama",50682,6911
0500000US01095,01095,"Marshall County, Alabama",27212,6642
0500000US01101,01101,"Montgomery County, Alabama",-,**
0500000US01109,01109,"Pike County, Alabama",-,**
0500000US01111,01111,"Randolph County, Alabama",-,**
0500000US01113,01113,"Russell County, Alabama","2,500-",***
0500000US01115,01115,"St. Clair County, Alabama",22000,11826
0500000US01117,01117,"Shelby County, Alabama",37772,23321
0500000US01121,01121,"Talladega County, Alabama",-,**
0500000US01123,01123,"Tallapoosa County, Alabama",-,**
0500000US01127,01127,"Walker County, Alabama",-,**
0500000US01133,01133,"Winston County, Alabama",-,**
0500000US02020,02020,"Anchorage Municipality, Alaska",28375,9627
0500000US02110,02110,"Juneau City and Borough, Alaska",39695,22451
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",38487,34061
0500000US04001,04001,"Apache County, Arizona",8988,700
0500000US04003,04003,"Cochise County, Arizona",34127,19737
0500000US04005,04005,"Coconino County, Arizona",25868,13020
0500000US04009,04009,"Graham County, Arizona",6303,1492
0500000US04013,04013,"Maricopa County, Arizona",31073,3895
0500000US04015,04015,"Mohave County, Arizona",17679,11465
0500000US04017,04017,"Navajo County, Arizona",11837,5132
0500000US04019,04019,"Pima County, Arizona",19496,4265
0500000US04021,04021,"Pinal County, Arizona",25625,25659
0500000US04023,04023,"Santa Cruz County, Arizona",-,**
0500000US04025,04025,"Yavapai County, Arizona",25478,10128
0500000US05003,05003,"Ashley County, Arkansas",-,**
0500000US05005,05005,"Baxter County, Arkansas",-,**
0500000US05007,05007,"Benton County, Arkansas",41550,9863
0500000US05009,05009,"Boone County, Arkansas",-,**
0500000US05019,05019,"Clark County, Arkansas",-,**
0500000US05023,05023,"Cleburne County, Arkansas",-,**
0500000US05027,05027,"Columbia County, Arkansas",-,**
0500000US05029,05029,"Conway County, Arkansas",-,**
0500000US05031,05031,"Craighead County, Arkansas",-,**
0500000US05033,05033,"Crawford County, Arkansas",-,**
0500000US05035,05035,"Crittenden County, Arkansas",-,**
