GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
0500000US01073,01073,"Jefferson County, Alabama",3871,880,2453,760,220,215,549,360,222,183,427,238
0500000US01101,01101,"Montgomery County, Alabama",2427,748,1053,459,548,372,198,267,189,250,439,404
0500000US01117,01117,"Shelby County, Alabama",2047,541,1278,448,363,276,72,112,121,137,213,213
0500000US01125,01125,"Tuscaloosa County, Alabama",1620,439,840,502,155,142,300,218,115,132,210,172
0500000US02020,02020,"Anchorage Municipality, Alaska",3876,1156,1068,534,357,393,1091,654,884,665,476,314
0500000US04013,04013,"Maricopa County, Arizona",56045,3447,29687,2968,5993,1414,10824,2040,2054,641,7487,1589
0500000US04019,04019,"Pima County, Arizona",9665,1368,5800,1194,957,495,1210,574,571,290,1127,508
0500000US04021,04021,"Pinal County, Arizona",3135,654,1078,626,577,411,683,469,572,354,225,196
0500000US04027,04027,"Yuma County, Arizona",603,354,204,158,227,211,51,95,0,198,121,112
0500000US05007,05007,"Benton County, Arkansas",3553,799,2300,766,397,348,669,327,129,155,58,98
0500000US05119,05119,"Pulaski County, Arkansas",3147,1092,1565,674,209,178,691,493,341,262,341,248
0500000US06001,06001,"Alameda County, California",156453,5986,86649,4425,13665,1820,29978,2841,4925,997,21236,2068
0500000US06007,06007,"Butte County, California",1559,648,930,466,330,235,183,201,0,197,116,115
0500000US06013,06013,"Contra Costa County, California",63465,3555,30310,2620,7644,1394,14890,2236,2692,838,7929,1353
0500000US06017,06017,"El Dorado County, California",2288,775,708,367,510,374,429,320,144,179,497,375
0500000US06019,06019,"Fresno County, California",14359,2121,6598,1275,2307,668,2221,591,876,432,2357,820
0500000US06029,06029,"Kern County, California",9707,1543,4240,945,1578,642,1375,608,711,318,1803,707
0500000US06037,06037,"Los Angeles County, California",504842,9875,205106,7024,58194,3929,120389,5010,24660,2380,96493,5034
0500000US06041,06041,"Marin County, California",6914,1166,2993,787,733,300,1767,1035,146,144,1275,486
0500000US06047,06047,"Merced County, California",2701,946,998,473,333,280,756,403,176,173,438,277
0500000US06053,06053,"Monterey County, California",7509,1077,2748,794,1683,757,1529,542,433,249,1116,445
0500000US06055,06055,"Napa County, California",3604,733,1183,446,668,333,793,343,138,129,822,425
0500000US06059,06059,"Orange County, California",208566,5714,100744,4254,21301,2527,44693,2983,8682,1392,33146,3501
0500000US06061,06061,"Placer County, California",8956,1241,3764,808,1649,586,1862,783,209,176,1472,563
0500000US06065,06065,"Riverside County, California",39112,2844,15236,1813,5954,1225,10588,1421,2501,861,4833,1151
0500000US06067,06067,"Sacramento County, California",51549,3257,20661,2356,6207,1236,12855,1694,2734,967,9092,1812
0500000US06071,06071,"San Bernardino County, California",49301,3267,18667,2098,7866,1767,14403,1912,2249,697,6116,1137
0500000US06073,06073,"San Diego County, California",114622,4430,57966,3822,13453,2108,20942,2690,6997,1216,15264,2047
0500000US06075,06075,"San Francisco County, California",91469,4273,40609,3284,5352,1188,21970,2563,5504,1263,18034,2166
0500000US06077,06077,"San Joaquin County, California",15634,1929,5747,1162,2827,871,3677,909,1413,755,1970,627
0500000US06079,06079,"San Luis Obispo County, California",2519,655,989,463,189,162,907,541,113,151,321,168
0500000US06081,06081,"San Mateo County, California",73085,3609,33124,3008,7175,1453,19760,2093,2764,808,10262,1420
0500000US06083,06083,"Santa Barbara County, California",5133,976,2483,693,829,412,586,325,192,158,1043,492
0500000US06085,06085,"Santa Clara County, California",261082,5982,165588,5345,20666,2317,41046,3612,8005,1220,25777,2427
0500000US06087,06087,"Santa Cruz County, California",3048,617,1659,530,298,224,385,218,131,204,575,282
0500000US06095,06095,"Solano County, California",18731,1691,6505,1133,3636,853,5052,953,1225,538,2313,659
0500000US06097,06097,"Sonoma County, California",6873,1218,3338,975,1134,532,921,516,387,240,1093,470
0500000US06099,06099,"Stanislaus County, California",5298,1308,1979,696,1121,589,1008,492,452,269,738,410
0500000US06101,06101,"Sutter County, California",2215,677,620,383,225,237,854,485,153,169,363,221
0500000US06111,06111,"Ventura County, California",22055,2071,10649,1500,2653,645,4134,784,1253,440,3366,896
0500000US06113,06113,"Yolo County, California",7365,1184,4627,1131,530,352,941,395,149,186,1118,367
0500000US08001,08001,"Adams County, Colorado",2822,616,1490,512,261,199,479,272,170,197,422,308
0500000US08005,08005,"Arapahoe County, Colorado",10490,1566,6393,1471,269,157,1567,547,383,236,1878,895
0500000US08013,08013,"Boulder County, Colorado",6670,832,3903,812,1038,761,620,415,152,196,957,486
0500000US08031,08031,"Denver County, Colorado",7391,1330,4333,976,405,287,1602,568,52,86,999,593
0500000US08035,08035,"Douglas County, Colorado",5428,1010,2481,767,783,679,1341,664,187,129,636,382
0500000US08041,08041,"El Paso County, Colorado",4441,1134,2498,975,477,302,882,426,47,79,537,327
0500000US08059,08059,"Jefferson County, Colorado",4488,841,2509,757,151,167,791,382,470,300,567,270
0500000US08069,08069,"Larimer County, Colorado",2068,457,1261,365,66,79,311,235,58,106,372,275
0500000US08123,08123,"Weld County, Colorado",1343,478,754,435,66,75,281,191,242,161,0,189
0500000US09001,09001,"Fairfield County, Connecticut",23304,1508,13460,1452,2051,612,4005,866,785,363,3003,721
0500000US09003,09003,"Hartford County, Connecticut",15072,1388,9644,1302,1105,490,2390,683,552,406,1381,514
0500000US09009,09009,"New Haven County, Connecticut",13112,1502,7295,1319,1168,419,2218,704,531,366,1900,715
0500000US10003,10003,"New Castle County, Delaware",11687,1192,7357,1225,807,379,2120,596,408,281,995,460
0500000US11001,11001,"District of Columbia, District of Columbia",12601,1012,7870,917,462,303,1491,699,599,447,2179,629
0500000US12001,12001,"Alachua County, Florida",4972,805,2929,665,867,567,152,128,122,141,902,480
0500000US12009,12009,"Brevard County, Florida",2822,957,1386,602,456,389,831,503,0,211,149,134
0500000US12011,12011,"Broward County, Florida",18635,2049,7688,1521,3211,791,4803,1361,1191,571,1742,592
0500000US12019,12019,"Clay County, Florida",2061,586,654,434,739,698,229,196,439,316,0,211
0500000US12021,12021,"Collier County, Florida",570,329,212,170,188,173,39,74,0,211,131,125
0500000US12031,12031,"Duval County, Florida",13817,1745,5368,997,3536,1200,2496,787,674,378,1743,1116
