GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD04,HD02_VD04,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD14,HD02_VD14,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22
Id,Id2,Geography,Estimate; Total (dollars):,Margin of Error; Total (dollars):,Estimate; Male householder -- - Total (dollars),Margin of Error; Male householder -- - Total (dollars),Estimate; Male householder -- - Living alone -- - Total (dollars),Margin of Error; Male householder -- - Living alone -- - Total (dollars),Estimate; Male householder -- - Living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Male householder -- - Living alone -- - Householder 15 to 64 years (dollars),Estimate; Male householder -- - Living alone -- - Householder 65 years and over (dollars),Margin of Error; Male householder -- - Living alone -- - Householder 65 years and over (dollars),Estimate; Male householder -- - Not living alone -- - Total (dollars),Margin of Error; Male householder -- - Not living alone -- - Total (dollars),Estimate; Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Male householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Estimate; Male householder -- - Not living alone -- - Householder 65 years and over (dollars),Margin of Error; Male householder -- - Not living alone -- - Householder 65 years and over (dollars),Estimate; Female householder -- - Total (dollars),Margin of Error; Female householder -- - Total (dollars),Estimate; Female householder -- - Living alone -- - Total (dollars),Margin of Error; Female householder -- - Living alone -- - Total (dollars),Estimate; Female householder -- - Living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Female householder -- - Living alone -- - Householder 15 to 64 years (dollars),Estimate; Female householder -- - Living alone -- - Householder 65 years and over (dollars),Margin of Error; Female householder -- - Living alone -- - Householder 65 years and over (dollars),Estimate; Female householder -- - Not living alone -- - Total (dollars),Margin of Error; Female householder -- - Not living alone -- - Total (dollars),Estimate; Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Margin of Error; Female householder -- - Not living alone -- - Householder 15 to 64 years (dollars),Estimate; Female householder -- - Not living alone -- - Householder 65 years and over (dollars),Margin of Error; Female householder -- - Not living alone -- - Householder 65 years and over (dollars)
0500000US01001,01001,"Autauga County, Alabama",23786,3850,28599,4559,28484,4228,29735,4044,16586,6080,29539,16580,22475,30065,29605,49217,21129,3022,19315,3142,23314,5199,13615,4329,44071,4474,44071,4474,-,**
0500000US01003,01003,"Baldwin County, Alabama",27974,2811,36135,2953,33992,4676,36705,5886,28627,4846,38942,15732,37228,8056,70268,33580,22629,1509,21168,1413,24249,4019,20083,3211,44481,5443,44779,5146,37281,49624
0500000US01005,01005,"Barbour County, Alabama",18187,4430,23872,5980,23424,6895,23525,11031,23240,19106,27037,10942,30409,18150,-,**,12575,2784,11675,2385,12891,7341,11467,2324,52872,21032,52872,21032,-,**
0500000US01007,01007,"Bibb County, Alabama",20869,2133,20563,1997,20539,2885,21374,6633,16075,3344,35417,32056,35417,32056,-,**,21472,7871,20748,8062,28188,12173,12374,7147,93682,270343,93682,270343,-,**
0500000US01009,01009,"Blount County, Alabama",19231,2401,28413,9155,27358,8947,31281,12509,18061,10827,57867,69062,57950,65680,23750,70525,15823,2075,15678,2209,18509,7553,14976,2968,45859,53213,46172,52225,-,**
0500000US01013,01013,"Butler County, Alabama",17774,2557,19135,7875,18846,7297,18462,7896,23036,13148,20750,44408,12396,63944,-,**,17406,3522,16250,3756,18225,6001,15354,3704,33508,3722,33508,3722,-,**
0500000US01015,01015,"Calhoun County, Alabama",18888,1866,30117,3382,27964,3794,30343,3417,16547,5648,42829,20274,43706,26256,19375,55404,14410,1085,13904,1051,12935,3520,14219,888,35365,8234,35278,9762,47891,32484
0500000US01017,01017,"Chambers County, Alabama",17672,3508,21791,3738,21097,4250,24588,7072,13293,3381,49474,43948,66161,33627,-,**,14134,1697,13869,1402,19214,7151,12260,1132,45724,22448,45724,22448,-,**
0500000US01019,01019,"Cherokee County, Alabama",12838,1802,13242,2369,12911,2369,11905,3765,13788,1153,29471,22397,48438,20850,-,**,12412,2597,11754,1442,12545,7578,11218,1697,39688,25792,45385,36822,38438,22843
0500000US01021,01021,"Chilton County, Alabama",14628,2399,18933,7597,15625,9135,18202,10014,14368,16104,42904,23130,42904,23130,-,**,13474,2583,12917,2310,14470,7366,12600,1821,68250,53135,68250,53135,-,**
0500000US01025,01025,"Clarke County, Alabama",13438,2405,13703,3882,12710,2730,13803,1996,9468,1101,23780,105,-,**,-,**,12939,4681,12153,4529,17246,5516,9551,1022,31250,59624,31250,59624,-,**
0500000US01031,01031,"Coffee County, Alabama",23537,2686,33522,4215,29940,5137,32399,6263,23879,11201,58393,17303,58393,17303,-,**,14595,1486,14373,1388,17058,6407,13412,1440,44167,133474,42917,156470,-,**
0500000US01033,01033,"Colbert County, Alabama",18994,2503,26969,4518,25836,4656,28212,10080,25168,2369,53269,35745,54631,48988,24810,8102,14824,1458,14509,1161,17068,3117,13632,997,35833,22590,36063,21745,-,**
0500000US01039,01039,"Covington County, Alabama",16388,2589,25519,6101,22669,8003,27909,4128,12203,6718,63023,40150,63455,27103,-,**,14119,1408,13718,1350,11635,3026,14137,1344,34423,43599,57925,37261,19688,15382
0500000US01043,01043,"Cullman County, Alabama",17797,2022,23447,2748,21771,2953,22386,3016,19960,7714,30893,5048,30570,6674,61094,28601,13924,1835,13229,1524,19156,7389,11957,897,28192,6221,28929,9102,25074,12420
0500000US01045,01045,"Dale County, Alabama",21560,4322,40305,9836,33168,11200,34972,12003,17440,3026,57073,19753,56037,15672,80000,4117,13627,1579,13381,1457,13758,2034,12910,2226,22574,18070,19583,18905,-,**
0500000US01047,01047,"Dallas County, Alabama",16391,1659,16231,1983,15511,2252,16569,1644,9963,1636,50261,15528,50477,10383,-,**,16628,2707,15300,4069,17973,4513,9864,1856,26301,3294,25875,3049,30417,13011
0500000US01049,01049,"DeKalb County, Alabama",16079,2013,20054,7442,19976,6613,25055,8100,15254,5286,25313,36791,21250,41414,37891,43205,12352,1190,11908,760,17258,5021,11168,756,35733,13145,35618,16102,40000,2050
0500000US01051,01051,"Elmore County, Alabama",29394,2962,38236,5210,30924,2713,33243,5157,21157,9842,53846,3748,53996,5846,51667,77293,22259,1594,20398,2739,22268,2002,14853,2088,39702,15530,39821,18961,36667,24447
0500000US01053,01053,"Escambia County, Alabama",17035,2662,19478,5115,17926,5428,16555,4131,22372,8673,24450,57970,52625,71638,-,**,15849,2435,14365,1989,14631,6915,13892,3311,23091,11577,23091,11577,-,**
0500000US01055,01055,"Etowah County, Alabama",18400,1296,23301,1576,22741,2045,23671,2788,20271,3876,26250,9667,24697,13669,28782,3619,16337,1056,15764,1200,18315,2033,14634,794,30645,5013,31099,6173,18162,8975
0500000US01059,01059,"Franklin County, Alabama",14320,1402,16974,7388,14702,2459,14434,4726,15169,2657,27228,23536,26576,23087,38438,22885,13270,1407,11949,1523,9700,2973,12533,1225,26389,5942,25139,14381,29000,12666
0500000US01061,01061,"Geneva County, Alabama",15628,1722,17028,5820,16825,5056,17072,8137,11941,10490,26579,48630,55530,47204,-,**,13986,2088,12807,2355,13050,6195,12710,2269,32877,9551,33608,17641,-,**
0500000US01069,01069,"Houston County, Alabama",21981,1244,28182,2554,27465,2519,30792,2310,18684,2289,42708,18416,42768,15273,24844,75361,18223,1740,16768,1299,20392,2272,14375,1129,41814,6038,41571,7140,45250,31960
0500000US01071,01071,"Jackson County, Alabama",16984,1979,23534,7305,22475,9560,24894,9480,15968,12629,36576,18717,37065,24535,21750,116158,15293,2022,14971,2080,20153,4071,12153,1553,24524,44617,24673,48890,-,**
0500000US01073,01073,"Jefferson County, Alabama",25546,820,31064,1464,27115,1765,30492,1941,18612,2086,51175,3144,51683,3976,36932,17418,22680,920,21128,887,27431,1300,16022,885,49206,7258,50931,5481,28675,9009
0500000US01077,01077,"Lauderdale County, Alabama",18580,1668,20407,1876,20622,1803,21554,2105,18646,1482,15771,11154,15771,11154,-,**,17309,1818,16786,1769,17650,4547,16474,1477,32594,13145,32984,17605,31141,47488
0500000US01079,01079,"Lawrence County, Alabama",16987,2187,31977,7793,31705,9276,35833,8882,16042,8825,32813,18753,35909,11893,16675,11939,12203,1278,11736,978,12926,4796,11394,1100,19412,65533,19412,65533,-,**
0500000US01081,01081,"Lee County, Alabama",19515,1758,22356,2590,20955,2801,20296,4618,22668,6671,28158,5121,27681,5361,59118,86116,16919,1091,16105,1225,15978,1471,16453,2687,19860,5804,19684,5443,41576,26738
0500000US01083,01083,"Limestone County, Alabama",25473,2189,35599,7290,32369,8204,36071,8886,16674,5720,50727,17669,52432,20017,20406,5662,20180,4230,17395,3900,25263,2309,14180,2206,43359,22651,43359,22651,-,**
0500000US01087,01087,"Macon County, Alabama",15409,2876,14933,3615,14350,4226,15975,10602,13728,3132,16483,6430,15911,4283,-,**,15914,4330,15683,4421,17835,8264,15238,5816,27727,2083,27727,2083,-,**
0500000US01089,01089,"Madison County, Alabama",31249,1573,36407,2673,32801,3607,34500,4585,26490,5661,49043,5235,48809,5375,51875,24556,26801,1275,25998,1320,31031,2288,21240,2133,41543,4896,41008,6081,44000,8749
0500000US01091,01091,"Marengo County, Alabama",11601,2476,13333,7327,11687,9489,10186,4582,30227,23755,17321,24822,17321,24822,-,**,10696,2273,10670,2142,8750,3405,15370,7302,41250,94206,7031,95689,-,**
0500000US01093,01093,"Marion County, Alabama",14466,1406,17308,13502,16671,6516,17257,20441,15440,8310,31306,2902,31315,9342,-,**,12576,1427,12348,1401,14795,4313,11794,1459,25313,19069,33093,41074,-,**
0500000US01095,01095,"Marshall County, Alabama",18708,2185,24346,3910,19600,5304,21200,5816,15997,7866,37202,20388,41917,19868,31083,4238,15950,2409,15052,2597,17670,3015,13271,2123,36813,14268,35000,11150,44514,44781
0500000US01097,01097,"Mobile County, Alabama",22189,977,28589,3522,25998,1730,27169,2788,17441,5126,43539,3396,44586,3178,22119,25587,18508,1392,16672,1210,20526,2542,14089,860,51890,8434,53372,10157,42422,21913
0500000US01099,01099,"Monroe County, Alabama",16444,2419,20275,6749,20115,7066,20572,7706,17895,21689,21190,40133,21190,40133,-,**,13383,2899,11419,2541,14515,6363,9618,1183,24333,7332,24375,7353,-,**
0500000US01101,01101,"Montgomery County, Alabama",27888,3026,36301,2823,34024,3463,34444,3321,24418,16435,55151,11795,55022,11839,62969,41534,22616,1885,21904,1920,24846,1956,18197,2136,42132,13055,43403,12685,24922,21350
