GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Women who had a birth in the past 12 months:,Margin of Error; Women who had a birth in the past 12 months:,Estimate; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent),Margin of Error; Women who had a birth in the past 12 months: - Now married (including separated and spouse absent),"Estimate; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced)","Margin of Error; Women who had a birth in the past 12 months: - Unmarried (never married, widowed and divorced)",Estimate; Women who did not have a birth in the past 12 months:,Margin of Error; Women who did not have a birth in the past 12 months:,Estimate; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent),Margin of Error; Women who did not have a birth in the past 12 months: - Now married (including separated and spouse absent),"Estimate; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced)","Margin of Error; Women who did not have a birth in the past 12 months: - Unmarried (never married, widowed and divorced)"
0500000US01073,01073,"Jefferson County, Alabama",2740,579,262,264,262,264,0,265,2478,584,1826,578,652,155
0500000US01089,01089,"Madison County, Alabama",2081,190,162,141,162,141,0,265,1919,243,1498,278,421,182
0500000US01101,01101,"Montgomery County, Alabama",1269,267,105,126,105,126,0,265,1164,275,626,297,538,328
0500000US02020,02020,"Anchorage Municipality, Alaska",5025,488,577,404,365,249,212,329,4448,575,2776,483,1672,494
0500000US04013,04013,"Maricopa County, Arizona",33746,1090,1672,605,1447,558,225,267,32074,1302,19584,1472,12490,1327
0500000US04019,04019,"Pima County, Arizona",7510,510,491,373,491,373,0,291,7019,655,3723,574,3296,645
0500000US04027,04027,"Yuma County, Arizona",956,305,122,138,122,138,0,291,834,339,572,293,262,170
0500000US06001,06001,"Alameda County, California",103275,1639,4124,885,3682,851,442,342,99151,1818,54414,2294,44737,2195
0500000US06013,06013,"Contra Costa County, California",39943,1249,2131,780,1924,700,207,329,37812,1317,22596,1613,15216,1629
0500000US06017,06017,"El Dorado County, California",2170,769,263,314,263,314,0,289,1907,760,897,548,1010,681
0500000US06019,06019,"Fresno County, California",21040,862,1112,457,870,419,242,255,19928,991,9748,1186,10180,1032
0500000US06029,06029,"Kern County, California",8902,589,941,484,334,292,607,433,7961,722,4719,607,3242,687
0500000US06037,06037,"Los Angeles County, California",369501,2885,13433,1754,11475,1645,1958,706,356068,3337,177407,4696,178661,4775
0500000US06041,06041,"Marin County, California",4557,312,114,129,114,129,0,289,4443,347,3209,432,1234,337
0500000US06047,06047,"Merced County, California",4718,507,349,294,203,179,146,223,4369,564,2593,513,1776,615
0500000US06053,06053,"Monterey County, California",7464,541,782,351,651,306,131,200,6682,648,3197,493,3485,656
0500000US06055,06055,"Napa County, California",2547,542,264,248,207,208,57,112,2283,491,1223,480,1060,538
0500000US06059,06059,"Orange County, California",140565,1569,5823,1097,5072,1057,751,507,134742,2060,71744,2914,62998,2684
0500000US06061,06061,"Placer County, California",6212,410,336,283,182,192,154,229,5876,439,3245,711,2631,683
0500000US06065,06065,"Riverside County, California",34139,1713,2060,800,1824,742,236,373,32079,1758,18054,1224,14025,1648
0500000US06067,06067,"Sacramento County, California",54119,1309,3752,987,2578,838,1174,579,50367,1626,30302,1769,20065,1590
0500000US06071,06071,"San Bernardino County, California",34815,1032,1244,619,1105,599,139,192,33571,1178,19814,1636,13757,1538
0500000US06073,06073,"San Diego County, California",89768,1717,4060,922,3528,856,532,372,85708,1831,50129,2194,35579,1941
0500000US06075,06075,"San Francisco County, California",60247,1223,2167,637,1488,536,679,426,58080,1315,25713,1993,32367,2258
0500000US06077,06077,"San Joaquin County, California",27306,784,2377,713,1814,685,563,521,24929,1060,14437,1177,10492,1258
0500000US06081,06081,"San Mateo County, California",46472,1000,2336,781,2069,723,267,284,44136,1247,24523,1851,19613,1859
0500000US06083,06083,"Santa Barbara County, California",5744,494,174,182,174,182,0,289,5570,489,2627,477,2943,596
0500000US06085,06085,"Santa Clara County, California",145090,1885,8485,1242,7894,1200,591,399,136605,1972,83688,3077,52917,2612
0500000US06087,06087,"Santa Cruz County, California",3514,411,206,192,146,170,60,99,3308,434,1864,451,1444,407
0500000US06095,06095,"Solano County, California",15629,790,519,239,421,229,98,118,15110,834,8022,964,7088,846
0500000US06097,06097,"Sonoma County, California",6166,519,515,432,515,432,0,289,5651,685,3237,950,2414,937
0500000US06099,06099,"Stanislaus County, California",8409,559,570,398,570,398,0,289,7839,696,4736,746,3103,856
0500000US06101,06101,"Sutter County, California",2908,369,279,312,279,312,0,289,2629,382,1828,346,801,357
0500000US06107,06107,"Tulare County, California",4289,368,102,136,102,136,0,289,4187,347,2333,434,1854,427
0500000US06111,06111,"Ventura County, California",15871,755,753,484,608,449,145,190,15118,938,8750,1137,6368,1197
0500000US06113,06113,"Yolo County, California",8704,710,167,134,86,104,81,91,8537,703,2794,543,5743,748
0500000US08001,08001,"Adams County, Colorado",3848,467,1045,478,873,503,172,222,2803,719,2126,639,677,381
0500000US08005,08005,"Arapahoe County, Colorado",7709,850,221,185,176,158,45,94,7488,878,4606,901,2882,742
0500000US08013,08013,"Boulder County, Colorado",3933,272,300,243,300,243,0,271,3633,346,2036,533,1597,578
0500000US08031,08031,"Denver County, Colorado",5684,378,321,284,236,252,85,106,5363,509,2668,522,2695,539
0500000US08041,08041,"El Paso County, Colorado",6214,514,390,309,236,233,154,237,5824,574,3428,569,2396,503
0500000US08059,08059,"Jefferson County, Colorado",4363,355,268,233,144,191,124,178,4095,359,2229,511,1866,541
0500000US08069,08069,"Larimer County, Colorado",1789,448,202,200,202,200,0,271,1587,469,652,363,935,327
0500000US09001,09001,"Fairfield County, Connecticut",10838,414,498,331,498,331,0,269,10340,523,7388,535,2952,412
0500000US09003,09003,"Hartford County, Connecticut",9344,589,612,434,612,434,0,269,8732,702,6462,853,2270,633
0500000US09005,09005,"Litchfield County, Connecticut",1003,188,123,138,123,138,0,269,880,222,530,264,350,307
0500000US09009,09009,"New Haven County, Connecticut",9084,574,274,227,274,227,0,269,8810,603,5530,756,3280,587
0500000US09011,09011,"New London County, Connecticut",2991,351,68,113,68,113,0,269,2923,364,1463,471,1460,456
0500000US10003,10003,"New Castle County, Delaware",5593,424,715,399,715,399,0,261,4878,560,3469,574,1409,540
0500000US11001,11001,"District of Columbia, District of Columbia",7750,616,329,258,215,269,114,187,7421,604,1868,569,5553,699
0500000US12001,12001,"Alachua County, Florida",3360,328,131,158,131,158,0,300,3229,329,946,358,2283,448
0500000US12009,12009,"Brevard County, Florida",3324,377,87,103,87,103,0,300,3237,404,1906,535,1331,594
0500000US12011,12011,"Broward County, Florida",15763,641,820,389,750,366,70,118,14943,755,9885,812,5058,836
0500000US12031,12031,"Duval County, Florida",8088,546,292,182,251,174,41,66,7796,559,5136,639,2660,653
0500000US12033,12033,"Escambia County, Florida",2393,401,16,31,16,31,0,300,2377,399,1119,360,1258,391
0500000US12057,12057,"Hillsborough County, Florida",10020,586,917,428,772,363,145,186,9103,773,5936,786,3167,570
0500000US12071,12071,"Lee County, Florida",2278,465,291,259,291,259,0,300,1987,524,1298,551,689,471
