GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 64 years:,Margin of Error; Male: - 16 to 64 years:,Estimate; Male: - 16 to 64 years: - In labor force:,Margin of Error; Male: - 16 to 64 years: - In labor force:,Estimate; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 64 years: - Not in labor force,Margin of Error; Male: - 16 to 64 years: - Not in labor force,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - In labor force:,Margin of Error; Male: - 65 years and over: - In labor force:,Estimate; Male: - 65 years and over: - In labor force: - Employed,Margin of Error; Male: - 65 years and over: - In labor force: - Employed,Estimate; Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 65 years and over: - In labor force: - Unemployed,Estimate; Male: - 65 years and over: - Not in labor force,Margin of Error; Male: - 65 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 64 years:,Margin of Error; Female: - 16 to 64 years:,Estimate; Female: - 16 to 64 years: - In labor force:,Margin of Error; Female: - 16 to 64 years: - In labor force:,Estimate; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 64 years: - Not in labor force,Margin of Error; Female: - 16 to 64 years: - Not in labor force,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - In labor force:,Margin of Error; Female: - 65 years and over: - In labor force:,Estimate; Female: - 65 years and over: - In labor force: - Employed,Margin of Error; Female: - 65 years and over: - In labor force: - Employed,Estimate; Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 65 years and over: - In labor force: - Unemployed,Estimate; Female: - 65 years and over: - Not in labor force,Margin of Error; Female: - 65 years and over: - Not in labor force
0500000US04013,04013,"Maricopa County, Arizona",55932,4683,25735,2880,24270,2779,16426,2456,56,95,16370,2457,13852,2323,2518,860,7844,1865,1465,546,371,329,241,249,130,164,1094,476,30197,3280,28166,3141,20520,2772,0,305,20520,2772,18211,2611,2309,815,7646,1531,2031,602,394,324,228,257,166,150,1637,582
0500000US04015,04015,"Mohave County, Arizona",5356,1289,1993,584,1815,553,1449,509,0,305,1449,509,1001,398,448,362,366,312,178,152,32,58,32,58,0,305,146,166,3363,964,2790,966,1932,781,0,305,1932,781,1390,667,542,471,858,530,573,165,0,305,0,305,0,305,573,165
0500000US06001,06001,"Alameda County, California",43267,5111,21614,3206,20593,3099,16183,2700,80,133,16103,2694,14159,2468,1944,788,4410,1192,1021,447,179,149,138,137,41,66,842,413,21653,2782,19622,2736,13965,2035,0,294,13965,2035,12681,1951,1284,649,5657,1480,2031,555,284,237,284,237,0,294,1747,537
0500000US06007,06007,"Butte County, California",8555,1284,4755,1006,4320,1025,2775,878,0,294,2775,878,2002,782,773,455,1545,1001,435,183,215,265,215,265,0,294,220,194,3800,662,3599,728,2497,713,0,294,2497,713,2169,769,328,324,1102,483,201,188,0,294,0,294,0,294,201,188
0500000US06013,06013,"Contra Costa County, California",24192,2283,12777,1651,11844,1610,8354,1223,75,127,8279,1215,6794,1181,1485,666,3490,988,933,356,121,144,121,144,0,294,812,340,11415,1631,10851,1588,7466,1468,0,294,7466,1468,6824,1429,642,437,3385,961,564,277,144,235,144,235,0,294,420,241
0500000US06019,06019,"Fresno County, California",19846,3263,9140,1959,8647,1953,6143,1678,0,294,6143,1678,4364,1060,1779,1232,2504,934,493,235,140,131,140,131,0,294,353,176,10706,1820,9464,1760,5026,1186,0,294,5026,1186,4367,1089,659,472,4438,1132,1242,600,49,84,49,84,0,294,1193,596
0500000US06029,06029,"Kern County, California",17521,2764,8487,1642,7833,1623,4619,1104,280,327,4339,1101,3898,1068,441,256,3214,1116,654,271,0,294,0,294,0,294,654,271,9034,1751,8386,1691,4880,1140,0,294,4880,1140,4155,1008,725,542,3506,1042,648,380,129,138,129,138,0,294,519,378
0500000US06037,06037,"Los Angeles County, California",196557,9397,96000,5497,88629,5445,67811,4524,163,153,67648,4550,57274,4166,10374,2028,20818,2507,7371,1067,1832,513,1462,526,370,291,5539,1076,100557,5843,88903,5514,62785,4709,0,294,62785,4709,53998,4546,8787,1613,26118,2470,11654,1369,2791,750,2485,754,306,196,8863,1261
0500000US06053,06053,"Monterey County, California",9930,2145,5502,1449,4476,1391,3513,1073,50,54,3463,1065,2644,826,819,708,963,576,1026,545,145,181,145,181,0,294,881,496,4428,1230,4024,1157,3034,1049,109,174,2925,1081,2656,1033,269,247,990,436,404,246,0,294,0,294,0,294,404,246
0500000US06059,06059,"Orange County, California",49826,4548,25824,2786,24015,2639,18784,2301,0,294,18784,2301,15439,2145,3345,885,5231,1319,1809,788,199,167,199,167,0,294,1610,791,24002,2698,22001,2399,16754,2264,0,294,16754,2264,14470,2088,2284,739,5247,1181,2001,668,417,237,417,237,0,294,1584,645
0500000US06065,06065,"Riverside County, California",44037,3862,21562,2269,20372,2178,15083,1887,107,129,14976,1891,12182,1513,2794,1336,5289,1123,1190,535,255,252,255,252,0,294,935,463,22475,2718,20535,2569,13644,2108,0,294,13644,2108,10502,1768,3142,1090,6891,1412,1940,693,559,468,559,468,0,294,1381,570
0500000US06067,06067,"Sacramento County, California",39803,3653,17367,2146,16156,2100,12461,2085,45,73,12416,2083,10264,1738,2152,862,3695,1003,1211,468,192,188,192,188,0,294,1019,449,22436,2647,21056,2593,15381,2041,0,294,15381,2041,12678,1791,2703,1074,5675,1320,1380,574,108,127,108,127,0,294,1272,552
0500000US06071,06071,"San Bernardino County, California",45603,4015,22346,2725,21103,2702,15035,2516,147,176,14888,2480,11893,2283,2995,867,6068,1267,1243,513,174,164,174,164,0,294,1069,502,23257,2484,21004,2421,12500,1726,0,294,12500,1726,10748,1664,1752,721,8504,1566,2253,869,424,406,350,396,74,122,1829,616
0500000US06073,06073,"San Diego County, California",69153,5022,33746,2896,32012,2836,22929,2411,2265,934,20664,2296,17833,2203,2831,981,9083,1922,1734,686,800,541,800,541,0,294,934,478,35407,3337,32756,3109,23075,2663,375,322,22700,2609,19911,2416,2789,1027,9681,1678,2651,758,542,351,471,321,71,116,2109,664
0500000US06075,06075,"San Francisco County, California",20436,2939,8610,1608,8283,1581,5907,1423,0,294,5907,1423,4654,1193,1253,1051,2376,929,327,237,48,81,48,81,0,294,279,212,11826,2094,10545,2061,8353,1907,0,294,8353,1907,7275,1801,1078,579,2192,782,1281,542,218,177,165,153,53,87,1063,522
0500000US06077,06077,"San Joaquin County, California",18208,2230,8971,1455,8694,1467,5152,1093,0,294,5152,1093,4113,952,1039,526,3542,1067,277,245,0,294,0,294,0,294,277,245,9237,1545,8838,1549,6647,1241,0,294,6647,1241,4811,975,1836,747,2191,809,399,290,71,121,71,121,0,294,328,263
0500000US06081,06081,"San Mateo County, California",13081,2365,7105,1746,6105,1643,4983,1389,0,294,4983,1389,4676,1329,307,222,1122,480,1000,444,216,195,145,179,71,108,784,414,5976,1142,5394,1093,3874,907,0,294,3874,907,3352,851,522,274,1520,571,582,386,0,294,0,294,0,294,582,386
0500000US06085,06085,"Santa Clara County, California",40365,4549,20225,3193,18963,3126,14081,2379,65,111,14016,2368,12084,2235,1932,846,4882,1790,1262,362,326,213,326,213,0,294,936,321,20140,2262,18532,2212,13151,1575,64,106,13087,1572,11309,1583,1778,665,5381,1434,1608,546,194,192,194,192,0,294,1414,516
0500000US06095,06095,"Solano County, California",15985,2454,8760,1676,8369,1671,6715,1654,120,188,6595,1638,5527,1351,1068,690,1654,555,391,288,38,66,38,66,0,294,353,282,7225,1554,6933,1544,4908,1291,121,208,4787,1285,3682,954,1105,685,2025,773,292,206,49,83,49,83,0,294,243,189
0500000US06099,06099,"Stanislaus County, California",9934,1831,4619,1130,4078,1008,2670,765,0,294,2670,765,2194,690,476,308,1408,532,541,353,117,144,50,90,67,110,424,276,5315,1167,4597,1099,2976,831,23,38,2953,828,2243,734,710,366,1621,661,718,343,244,265,244,265,0,294,474,258
0500000US06107,06107,"Tulare County, California",7302,1573,3573,931,3075,867,2424,785,0,294,2424,785,1664,621,760,616,651,320,498,308,234,293,234,293,0,294,264,211,3729,988,3249,892,1509,613,0,294,1509,613,1159,485,350,309,1740,527,480,334,12,21,12,21,0,294,468,335
0500000US06111,06111,"Ventura County, California",17146,2800,8378,1738,7642,1647,5475,1315,104,125,5371,1325,4870,1132,501,382,2167,759,736,394,241,206,241,206,0,294,495,350,8768,1601,7917,1501,5085,1083,141,170,4944,1037,4141,945,803,397,2832,853,851,460,55,91,55,91,0,294,796,464
0500000US08005,08005,"Arapahoe County, Colorado",9481,1754,4636,1096,4134,1030,3447,899,105,124,3342,896,2717,794,625,316,687,465,502,275,263,235,207,237,56,83,239,168,4845,1061,4476,1034,3377,947,0,279,3377,947,3154,923,223,179,1099,431,369,310,57,100,57,100,0,279,312,295
0500000US08031,08031,"Denver County, Colorado",10122,1783,5220,1148,4887,1097,3687,949,0,279,3687,949,2867,867,820,449,1200,504,333,267,0,279,0,279,0,279,333,267,4902,1452,4562,1304,3775,1273,0,279,3775,1273,3372,1288,403,254,787,382,340,351,0,279,0,279,0,279,340,351
0500000US08041,08041,"El Paso County, Colorado",14338,2031,6871,1482,6779,1490,4956,1140,545,404,4411,1099,4038,1038,373,261,1823,900,92,112,0,279,0,279,0,279,92,112,7467,1299,6978,1295,4770,999,339,279,4431,923,3977,896,454,311,2208,713,489,262,106,127,106,127,0,279,383,263
