GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Total; Estimate; Civilian employed population 16 years and over
HC01_MOE_VC01,Total; Margin of Error; Civilian employed population 16 years and over
HC02_EST_VC01,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over
HC02_MOE_VC01,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over
HC03_EST_VC01,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over
HC03_MOE_VC01,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over
HC04_EST_VC01,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over
HC04_MOE_VC01,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over
HC05_EST_VC01,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over"
HC05_MOE_VC01,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over"
HC06_EST_VC01,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over
HC06_MOE_VC01,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over
HC01_EST_VC02,"Total; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC01_MOE_VC02,"Total; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC02_EST_VC02,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC02_MOE_VC02,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC03_EST_VC02,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC03_MOE_VC02,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC04_EST_VC02,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC04_MOE_VC02,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC05_EST_VC02,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC05_MOE_VC02,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC06_EST_VC02,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC06_MOE_VC02,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Agriculture, forestry, fishing and hunting, and mining"
HC01_EST_VC03,Total; Estimate; Civilian employed population 16 years and over - Construction
HC01_MOE_VC03,Total; Margin of Error; Civilian employed population 16 years and over - Construction
HC02_EST_VC03,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Construction
HC02_MOE_VC03,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Construction
HC03_EST_VC03,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Construction
HC03_MOE_VC03,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Construction
HC04_EST_VC03,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Construction
HC04_MOE_VC03,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Construction
HC05_EST_VC03,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Construction"
HC05_MOE_VC03,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Construction"
HC06_EST_VC03,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Construction
HC06_MOE_VC03,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Construction
HC01_EST_VC04,Total; Estimate; Civilian employed population 16 years and over - Manufacturing
HC01_MOE_VC04,Total; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC02_EST_VC04,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Manufacturing
HC02_MOE_VC04,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC03_EST_VC04,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Manufacturing
HC03_MOE_VC04,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC04_EST_VC04,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Manufacturing
HC04_MOE_VC04,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC05_EST_VC04,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Manufacturing"
HC05_MOE_VC04,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Manufacturing"
HC06_EST_VC04,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Manufacturing
HC06_MOE_VC04,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Manufacturing
HC01_EST_VC05,Total; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC01_MOE_VC05,Total; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC02_EST_VC05,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC02_MOE_VC05,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC03_EST_VC05,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC03_MOE_VC05,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC04_EST_VC05,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC04_MOE_VC05,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC05_EST_VC05,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Wholesale trade"
HC05_MOE_VC05,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Wholesale trade"
HC06_EST_VC05,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Wholesale trade
HC06_MOE_VC05,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Wholesale trade
HC01_EST_VC06,Total; Estimate; Civilian employed population 16 years and over - Retail trade
HC01_MOE_VC06,Total; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC02_EST_VC06,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Retail trade
HC02_MOE_VC06,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC03_EST_VC06,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Retail trade
HC03_MOE_VC06,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC04_EST_VC06,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Retail trade
HC04_MOE_VC06,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC05_EST_VC06,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Retail trade"
HC05_MOE_VC06,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Retail trade"
HC06_EST_VC06,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Retail trade
HC06_MOE_VC06,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Retail trade
HC01_EST_VC07,"Total; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC01_MOE_VC07,"Total; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC02_EST_VC07,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC02_MOE_VC07,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC03_EST_VC07,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC03_MOE_VC07,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC04_EST_VC07,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC04_MOE_VC07,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC05_EST_VC07,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC05_MOE_VC07,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC06_EST_VC07,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC06_MOE_VC07,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Transportation and warehousing, and utilities"
HC01_EST_VC08,Total; Estimate; Civilian employed population 16 years and over - Information
HC01_MOE_VC08,Total; Margin of Error; Civilian employed population 16 years and over - Information
HC02_EST_VC08,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Information
HC02_MOE_VC08,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Information
HC03_EST_VC08,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Information
HC03_MOE_VC08,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Information
HC04_EST_VC08,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Information
HC04_MOE_VC08,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Information
HC05_EST_VC08,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Information"
HC05_MOE_VC08,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Information"
HC06_EST_VC08,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Information
HC06_MOE_VC08,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Information
HC01_EST_VC09,"Total; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC01_MOE_VC09,"Total; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC02_EST_VC09,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC02_MOE_VC09,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC03_EST_VC09,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC03_MOE_VC09,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC04_EST_VC09,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC04_MOE_VC09,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC05_EST_VC09,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC05_MOE_VC09,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC06_EST_VC09,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC06_MOE_VC09,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Finance and insurance, and real estate and rental and leasing"
HC01_EST_VC10,"Total; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC01_MOE_VC10,"Total; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC02_EST_VC10,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC02_MOE_VC10,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC03_EST_VC10,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC03_MOE_VC10,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC04_EST_VC10,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC04_MOE_VC10,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC05_EST_VC10,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC05_MOE_VC10,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC06_EST_VC10,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC06_MOE_VC10,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Professional, scientific, and management, and administrative and waste management services"
HC01_EST_VC11,"Total; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC01_MOE_VC11,"Total; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC02_EST_VC11,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC02_MOE_VC11,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC03_EST_VC11,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC03_MOE_VC11,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC04_EST_VC11,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC04_MOE_VC11,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC05_EST_VC11,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC05_MOE_VC11,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC06_EST_VC11,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC06_MOE_VC11,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Educational services, and health care and social assistance"
HC01_EST_VC12,"Total; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC01_MOE_VC12,"Total; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC02_EST_VC12,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC02_MOE_VC12,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC03_EST_VC12,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC03_MOE_VC12,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC04_EST_VC12,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC04_MOE_VC12,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC05_EST_VC12,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC05_MOE_VC12,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC06_EST_VC12,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC06_MOE_VC12,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Arts, entertainment, and recreation, and accommodation and food services"
HC01_EST_VC13,"Total; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
