GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06
Id,Id2,Geography,Estimate; Total:,Estimate; Worked in the past 12 months:,Estimate; Worked in the past 12 months: - Weeks worked in the past 12 months -- - Imputed,Estimate; Worked in the past 12 months: - Weeks worked in the past 12 months -- - Not imputed,Estimate; Did not work in the past 12 months
0500000US01001,01001,"Autauga County, Alabama",42512,27625,2278,25347,14887
0500000US01003,01003,"Baldwin County, Alabama",152829,94737,6571,88166,58092
0500000US01005,01005,"Barbour County, Alabama",21850,11175,1276,9899,10675
0500000US01007,01007,"Bibb County, Alabama",18487,9212,765,8447,9275
0500000US01009,01009,"Blount County, Alabama",45634,25411,1995,23416,20223
0500000US01011,01011,"Bullock County, Alabama",8633,4330,716,3614,4303
0500000US01013,01013,"Butler County, Alabama",16266,8562,776,7786,7704
0500000US01015,01015,"Calhoun County, Alabama",93690,54867,5667,49200,38823
0500000US01017,01017,"Chambers County, Alabama",27605,14468,1407,13061,13137
0500000US01019,01019,"Cherokee County, Alabama",21309,11455,1069,10386,9854
0500000US01021,01021,"Chilton County, Alabama",34195,19609,1611,17998,14586
0500000US01023,01023,"Choctaw County, Alabama",11015,5358,484,4874,5657
0500000US01025,01025,"Clarke County, Alabama",20188,9253,649,8604,10935
0500000US01027,01027,"Clay County, Alabama",10997,5650,418,5232,5347
0500000US01029,01029,"Cleburne County, Alabama",11779,6410,645,5765,5369
0500000US01031,01031,"Coffee County, Alabama",40049,24232,2830,21402,15817
0500000US01033,01033,"Colbert County, Alabama",44184,24568,3389,21179,19616
0500000US01035,01035,"Conecuh County, Alabama",10349,4107,255,3852,6242
0500000US01037,01037,"Coosa County, Alabama",9383,5029,266,4763,4354
0500000US01039,01039,"Covington County, Alabama",30618,16761,1912,14849,13857
0500000US01041,01041,"Crenshaw County, Alabama",11077,6232,1058,5174,4845
0500000US01043,01043,"Cullman County, Alabama",64539,36295,2550,33745,28244
0500000US01045,01045,"Dale County, Alabama",39410,24427,2253,22174,14983
0500000US01047,01047,"Dallas County, Alabama",32716,16305,2395,13910,16411
0500000US01049,01049,"DeKalb County, Alabama",55312,30734,2270,28464,24578
0500000US01051,01051,"Elmore County, Alabama",63990,39135,3559,35576,24855
0500000US01053,01053,"Escambia County, Alabama",30510,13724,1392,12332,16786
0500000US01055,01055,"Etowah County, Alabama",83490,46239,3548,42691,37251
0500000US01057,01057,"Fayette County, Alabama",13755,7136,915,6221,6619
0500000US01059,01059,"Franklin County, Alabama",24650,13593,1616,11977,11057
0500000US01061,01061,"Geneva County, Alabama",21527,12408,1130,11278,9119
0500000US01063,01063,"Greene County, Alabama",6981,2774,481,2293,4207
0500000US01065,01065,"Hale County, Alabama",12109,6040,998,5042,6069
0500000US01067,01067,"Henry County, Alabama",13907,7658,562,7096,6249
0500000US01069,01069,"Houston County, Alabama",81209,49674,3199,46475,31535
0500000US01071,01071,"Jackson County, Alabama",42773,23826,1620,22206,18947
0500000US01073,01073,"Jefferson County, Alabama",522746,326037,26489,299548,196709
0500000US01075,01075,"Lamar County, Alabama",11567,6330,546,5784,5237
0500000US01077,01077,"Lauderdale County, Alabama",75673,45389,6187,39202,30284
0500000US01079,01079,"Lawrence County, Alabama",27129,14952,1629,13323,12177
0500000US01081,01081,"Lee County, Alabama",119075,80267,6506,73761,38808
0500000US01083,01083,"Limestone County, Alabama",69059,41456,4746,36710,27603
0500000US01085,01085,"Lowndes County, Alabama",8662,4360,569,3791,4302
0500000US01087,01087,"Macon County, Alabama",17080,9511,825,8686,7569
0500000US01089,01089,"Madison County, Alabama",273601,182568,13941,168627,91033
0500000US01091,01091,"Marengo County, Alabama",16332,8013,765,7248,8319
0500000US01093,01093,"Marion County, Alabama",24811,13330,1213,12117,11481
0500000US01095,01095,"Marshall County, Alabama",73260,43136,3264,39872,30124
0500000US01097,01097,"Mobile County, Alabama",324724,194005,15785,178220,130719
0500000US01099,01099,"Monroe County, Alabama",17806,7964,1030,6934,9842
0500000US01101,01101,"Montgomery County, Alabama",179376,114807,10437,104370,64569
0500000US01103,01103,"Morgan County, Alabama",94887,60015,4410,55605,34872
0500000US01105,01105,"Perry County, Alabama",8153,3117,562,2555,5036
0500000US01107,01107,"Pickens County, Alabama",15806,7815,809,7006,7991
0500000US01109,01109,"Pike County, Alabama",27473,16831,3073,13758,10642
0500000US01111,01111,"Randolph County, Alabama",18164,9516,1049,8467,8648
0500000US01113,01113,"Russell County, Alabama",44328,26029,2821,23208,18299
0500000US01115,01115,"St. Clair County, Alabama",67375,39951,2328,37623,27424
0500000US01117,01117,"Shelby County, Alabama",156603,110091,7843,102248,46512
0500000US01119,01119,"Sumter County, Alabama",10935,5294,857,4437,5641
0500000US01121,01121,"Talladega County, Alabama",65362,36899,2999,33900,28463
0500000US01123,01123,"Tallapoosa County, Alabama",33227,18086,1549,16537,15141
0500000US01125,01125,"Tuscaloosa County, Alabama",160991,102294,9382,92912,58697
0500000US01127,01127,"Walker County, Alabama",53071,27705,2006,25699,25366
0500000US01129,01129,"Washington County, Alabama",13484,7035,449,6586,6449
0500000US01131,01131,"Wilcox County, Alabama",8839,3265,461,2804,5574
0500000US01133,01133,"Winston County, Alabama",19673,10520,510,10010,9153
0500000US02013,02013,"Aleutians East Borough, Alaska",2963,2791,65,2726,172
0500000US02016,02016,"Aleutians West Census Area, Alaska",4901,4233,162,4071,668
0500000US02020,02020,"Anchorage Municipality, Alaska",230822,178070,13031,165039,52752
0500000US02050,02050,"Bethel Census Area, Alaska",11893,8619,1229,7390,3274
0500000US02060,02060,"Bristol Bay Borough, Alaska",760,664,19,645,96
0500000US02068,02068,"Denali Borough, Alaska",1668,1384,42,1342,284
0500000US02070,02070,"Dillingham Census Area, Alaska",3501,2568,302,2266,933
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",76989,60402,3242,57160,16587
0500000US02100,02100,"Haines Borough, Alaska",2110,1650,45,1605,460
0500000US02105,02105,"Hoonah-Angoon Census Area, Alaska",1779,1316,56,1260,463
0500000US02110,02110,"Juneau City and Borough, Alaska",25814,20170,1254,18916,5644
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",45114,31158,1585,29573,13956
0500000US02130,02130,"Ketchikan Gateway Borough, Alaska",10820,8201,565,7636,2619
0500000US02150,02150,"Kodiak Island Borough, Alaska",10499,8672,795,7877,1827
0500000US02164,02164,"Lake and Peninsula Borough, Alaska",1078,872,21,851,206
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",70388,48362,3585,44777,22026
0500000US02180,02180,"Nome Census Area, Alaska",6809,4904,315,4589,1905
0500000US02185,02185,"North Slope Borough, Alaska",7472,6220,496,5724,1252
