GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; With a mortgage:
HD02_VD02,Margin of Error; With a mortgage:
HD01_VD03,Estimate; With a mortgage: - Less than $800
HD02_VD03,Margin of Error; With a mortgage: - Less than $800
HD01_VD04,"Estimate; With a mortgage: - $800 to $1,499"
HD02_VD04,"Margin of Error; With a mortgage: - $800 to $1,499"
HD01_VD05,"Estimate; With a mortgage: - $1,500 to $1,999"
HD02_VD05,"Margin of Error; With a mortgage: - $1,500 to $1,999"
HD01_VD06,"Estimate; With a mortgage: - $2,000 to $2,999"
HD02_VD06,"Margin of Error; With a mortgage: - $2,000 to $2,999"
HD01_VD07,"Estimate; With a mortgage: - $3,000 or more"
HD02_VD07,"Margin of Error; With a mortgage: - $3,000 or more"
HD01_VD08,Estimate; With a mortgage: - No real estate taxes paid
HD02_VD08,Margin of Error; With a mortgage: - No real estate taxes paid
HD01_VD09,Estimate; Not mortgaged:
HD02_VD09,Margin of Error; Not mortgaged:
HD01_VD10,Estimate; Not mortgaged: - Less than $800
HD02_VD10,Margin of Error; Not mortgaged: - Less than $800
HD01_VD11,"Estimate; Not mortgaged: - $800 to $1,499"
HD02_VD11,"Margin of Error; Not mortgaged: - $800 to $1,499"
HD01_VD12,"Estimate; Not mortgaged: - $1,500 to $1,999"
HD02_VD12,"Margin of Error; Not mortgaged: - $1,500 to $1,999"
HD01_VD13,"Estimate; Not mortgaged: - $2,000 to $2,999"
HD02_VD13,"Margin of Error; Not mortgaged: - $2,000 to $2,999"
HD01_VD14,"Estimate; Not mortgaged: - $3,000 or more"
HD02_VD14,"Margin of Error; Not mortgaged: - $3,000 or more"
HD01_VD15,Estimate; Not mortgaged: - No real estate taxes paid
HD02_VD15,Margin of Error; Not mortgaged: - No real estate taxes paid
