GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Worked full-time, year-round in the past 12 months:","Margin of Error; Male: - Worked full-time, year-round in the past 12 months:","Estimate; Male: - Worked full-time, year-round in the past 12 months: - No earnings","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - No earnings","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings:","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings:","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $9,999 or loss","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $9,999 or loss","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $19,999","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $19,999","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $29,999","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $29,999","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $49,999","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $49,999","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $74,999","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $74,999","Estimate; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 or more","Margin of Error; Male: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 or more",Estimate; Male: - Other:,Margin of Error; Male: - Other:,Estimate; Male: - Other: - No earnings,Margin of Error; Male: - Other: - No earnings,Estimate; Male: - Other: - With earnings:,Margin of Error; Male: - Other: - With earnings:,"Estimate; Male: - Other: - With earnings: - $1 to $9,999 or loss","Margin of Error; Male: - Other: - With earnings: - $1 to $9,999 or loss","Estimate; Male: - Other: - With earnings: - $10,000 to $19,999","Margin of Error; Male: - Other: - With earnings: - $10,000 to $19,999","Estimate; Male: - Other: - With earnings: - $20,000 to $29,999","Margin of Error; Male: - Other: - With earnings: - $20,000 to $29,999","Estimate; Male: - Other: - With earnings: - $30,000 to $49,999","Margin of Error; Male: - Other: - With earnings: - $30,000 to $49,999","Estimate; Male: - Other: - With earnings: - $50,000 to $74,999","Margin of Error; Male: - Other: - With earnings: - $50,000 to $74,999","Estimate; Male: - Other: - With earnings: - $75,000 or more","Margin of Error; Male: - Other: - With earnings: - $75,000 or more",Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Worked full-time, year-round in the past 12 months:","Margin of Error; Female: - Worked full-time, year-round in the past 12 months:","Estimate; Female: - Worked full-time, year-round in the past 12 months: - No earnings","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - No earnings","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings:","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings:","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $9,999 or loss","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $9,999 or loss","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $19,999","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $19,999","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $29,999","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $29,999","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $49,999","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $49,999","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $74,999","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $74,999","Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 or more","Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 or more",Estimate; Female: - Other:,Margin of Error; Female: - Other:,Estimate; Female: - Other: - No earnings,Margin of Error; Female: - Other: - No earnings,Estimate; Female: - Other: - With earnings:,Margin of Error; Female: - Other: - With earnings:,"Estimate; Female: - Other: - With earnings: - $1 to $9,999 or loss","Margin of Error; Female: - Other: - With earnings: - $1 to $9,999 or loss","Estimate; Female: - Other: - With earnings: - $10,000 to $19,999","Margin of Error; Female: - Other: - With earnings: - $10,000 to $19,999","Estimate; Female: - Other: - With earnings: - $20,000 to $29,999","Margin of Error; Female: - Other: - With earnings: - $20,000 to $29,999","Estimate; Female: - Other: - With earnings: - $30,000 to $49,999","Margin of Error; Female: - Other: - With earnings: - $30,000 to $49,999","Estimate; Female: - Other: - With earnings: - $50,000 to $74,999","Margin of Error; Female: - Other: - With earnings: - $50,000 to $74,999","Estimate; Female: - Other: - With earnings: - $75,000 or more","Margin of Error; Female: - Other: - With earnings: - $75,000 or more"
0500000US01073,01073,"Jefferson County, Alabama",16893,312,9691,152,6341,1150,0,184,6341,1150,0,184,2899,1038,1999,1056,917,450,384,229,142,154,3350,1177,971,676,2379,884,843,573,1014,593,232,323,214,206,0,184,76,133,7202,274,2668,740,0,184,2668,740,114,182,999,683,517,438,416,276,432,367,190,200,4534,815,2601,683,1933,765,1051,545,857,536,25,40,0,184,0,184,0,184
0500000US02020,02020,"Anchorage Municipality, Alaska",16847,275,8512,243,5772,759,0,143,5772,759,39,62,599,506,1018,478,2539,1023,824,459,753,448,2740,823,855,523,1885,630,809,527,391,274,467,350,69,96,76,115,73,122,8335,303,2521,851,0,143,2521,851,123,191,218,214,566,408,1197,654,241,261,176,159,5814,882,2775,933,3039,822,1186,544,688,340,448,349,584,531,96,117,37,61
0500000US04003,04003,"Cochise County, Arizona",30917,423,15429,304,5550,756,0,198,5550,756,375,227,1448,473,1025,379,1402,493,334,226,966,403,9879,847,4316,582,5563,849,3193,725,1275,499,640,411,423,278,0,198,32,58,15488,278,5032,909,0,198,5032,909,242,220,1287,534,1482,517,1565,531,134,145,322,384,10456,899,5454,791,5002,781,3193,765,1097,439,617,363,26,44,69,84,0,198
0500000US04005,04005,"Coconino County, Arizona",13050,283,6487,180,2642,601,0,198,2642,601,184,231,165,165,603,510,859,508,557,335,274,251,3845,574,1909,637,1936,536,604,334,825,475,274,258,98,121,0,198,135,205,6563,236,2072,595,0,198,2072,595,0,198,370,309,581,424,666,409,202,234,253,258,4491,684,2766,582,1725,544,1101,495,313,215,223,233,54,93,34,59,0,198
0500000US04013,04013,"Maricopa County, Arizona",787076,2013,394129,1207,199677,5855,0,198,199677,5855,5527,1073,40169,3869,46473,3798,64441,3479,27052,3160,16015,2438,194452,5945,105682,4533,88770,4408,39361,3453,24911,2869,13284,1830,8727,1973,1586,583,901,385,392947,1623,128661,4390,0,198,128661,4390,4906,1371,29722,2455,30711,2929,43209,3499,14890,2198,5223,1210,264286,4592,169422,5604,94864,4570,47797,3328,28994,2400,10581,1664,5224,1293,1897,807,371,300
0500000US04019,04019,"Pima County, Arizona",247978,1246,119177,814,52957,2455,0,198,52957,2455,1905,816,9259,1375,12322,1744,15782,1997,8818,1636,4871,1035,66220,2481,32652,1879,33568,2600,17067,1669,10099,1606,2995,874,2705,781,454,266,248,179,128801,830,40268,2616,0,198,40268,2616,1358,683,8929,1517,11899,1526,13360,1857,3593,1006,1129,437,88533,2819,55135,3078,33398,2663,18555,1940,9181,1484,2559,717,2506,789,380,253,217,237
0500000US04021,04021,"Pinal County, Arizona",77140,598,43049,563,17781,1869,0,198,17781,1869,660,495,2105,933,3200,814,7087,1462,3185,920,1544,692,25268,1870,16838,1721,8430,1659,4630,1243,1684,771,1030,473,702,373,384,345,0,198,34091,457,10242,1380,0,198,10242,1380,215,169,1725,720,3392,1101,3533,928,1236,455,141,146,23849,1497,16866,1709,6983,1372,3771,1032,2239,954,615,443,152,128,86,143,120,135
0500000US04027,04027,"Yuma County, Arizona",83823,592,41306,461,18726,1427,0,198,18726,1427,498,381,3427,852,5103,1188,5946,1211,2044,576,1708,585,22580,1502,10820,1472,11760,1305,6287,1140,3424,990,791,448,1139,754,73,119,46,82,42517,397,9684,1356,0,198,9684,1356,399,342,2657,716,2195,690,3594,941,689,459,150,207,32833,1398,18306,1624,14527,1905,10011,1619,3361,971,801,533,167,164,94,152,93,115
0500000US05007,05007,"Benton County, Arkansas",23300,411,12040,320,7076,1156,0,184,7076,1156,0,184,1652,817,3278,961,1297,586,299,272,550,306,4964,1225,1738,756,3226,1291,1127,543,1674,1049,366,388,7,13,0,184,52,86,11260,236,5220,897,0,184,5220,897,8,16,2575,961,1595,553,960,601,65,90,17,30,6040,937,4230,896,1810,716,759,393,839,664,188,204,0,184,24,51,0,184
