GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Total: - Car, truck, or van - drove alone"
HD02_VD02,"Margin of Error; Total: - Car, truck, or van - drove alone"
HD01_VD03,"Estimate; Total: - Car, truck, or van - carpooled"
HD02_VD03,"Margin of Error; Total: - Car, truck, or van - carpooled"
HD01_VD04,Estimate; Total: - Public transportation (excluding taxicab)
HD02_VD04,Margin of Error; Total: - Public transportation (excluding taxicab)
HD01_VD05,Estimate; Total: - Walked
HD02_VD05,Margin of Error; Total: - Walked
HD01_VD06,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means"
HD02_VD06,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means"
HD01_VD07,Estimate; Total: - Worked at home
HD02_VD07,Margin of Error; Total: - Worked at home
